accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9064171122994652,0.9063039074634772,0.9083908045977012,0.9064171122994652,0.90956,1,0.9411764705882353,0.9030470914127424,0.9367816091954023,0.8716577540106952,"[1110464, 1104722, 1125941, 1125516, 1124220, 1129441, 1133073, 1131969, 1205861, 1110374, 1131020]","[1015212, 1015264, 1015307, 1015571, 1015268, 1015018, 1233357, 1015437, 1233337, 1015738, 1015474, 1233384, 1015649, 1233360, 1015706, 1015732, 1015194, 1015675, 1015197, 1015341, 1015231, 1015055, 1176442, 1176455]","{'TTR': 0.17290074391941648, 'the': 0.07517324497935449, 'and': 0.05487330165724347, 'DT': 0.05442982683710972, 'a': 0.03724764151076424, 'to': 0.023293029999971297, 'mean_sen_len': 0.021296661130342676, 'VBG': 0.020888318303275706, 'lex_density': 0.01590742984208688, 'IN': 0.015887879659578948}"
0.8957219251336899,0.8957152151686959,0.8958237986270023,0.8957219251336899,0.89488,1,0.8877005347593583,0.896551724137931,0.8894736842105263,0.9037433155080213,"[1112244, 1106133, 1133874, 1205431, 1132040, 1131755, 1116580, 1128061, 1129822, 1132121, 1117329, 1106673, 1120156, 1121106, 1132251, 1109603, 1134729, 1123691, 1108949, 1118215, 1133301]","[1015229, 1233381, 1015571, 1015675, 1015671, 1015524, 1176404, 1176443, 1233391, 1015646, 1015194, 1015036, 1015247, 1015649, 1176414, 1015523, 1015302, 1015011]","{'TTR': 0.18615484584171219, 'the': 0.06894242222990764, 'DT': 0.057723682358868766, 'and': 0.045529723112431905, 'a': 0.04002880702927162, 'to': 0.027173137048031388, 'VBG': 0.01996324297923313, 'more': 0.019639130969469554, 'mean_sen_len': 0.018686138494239862, 'i': 0.018484551475073413}"
0.9224598930481284,0.9224593386952636,0.9224719743765728,0.9224598930481284,0.92267,1,0.9251336898395722,0.9222520107238605,0.9247311827956989,0.9197860962566845,"[1122594, 1115374, 1112421, 1115953, 1121765, 1205265, 1120667, 1205670, 1127662, 840424, 1120608, 840291, 1123468, 1127551]","[1015210, 1015497, 1015571, 1176471, 1015332, 1015439, 1015743, 1233384, 1015264, 1176481, 1015008, 1015280, 1176407, 1015247, 1015433]","{'TTR': 0.1722598263023852, 'the': 0.06118862896487652, 'and': 0.05034745549913852, 'DT': 0.04674249683191681, 'a': 0.03455397302540057, 'mean_sen_len': 0.02828303226373971, 'to': 0.021369540679392465, 'NNS': 0.02016983100715066, 'VBG': 0.01939165258990428, 'more': 0.018045174210850553}"
0.9171122994652406,0.9171117068811437,0.9171242278654771,0.9171122994652406,0.91733,1,0.9197860962566845,0.9168900804289544,0.9193548387096774,0.9144385026737968,"[1123861, 1110586, 1205989, 1203814, 1121045, 1119184, 1131064, 1126142, 1204111, 1113462, 1128218, 1107081, 1134080, 1114547, 1117426]","[1015436, 1015268, 1015011, 1015470, 1233391, 1176400, 1015671, 1015309, 1015706, 1233384, 1015411, 1015341, 1015194, 1015126, 1015597, 1015402]","{'TTR': 0.18351471887482237, 'the': 0.07057225603608124, 'and': 0.05644649165284462, 'DT': 0.046568120747768, 'mean_sen_len': 0.02972939919548626, 'a': 0.024597096373944225, 'i': 0.022561634431759195, 'to': 0.01970139487274514, 'RB': 0.0172166459438266, 'IN': 0.017184422946578008}"
0.9144385026737968,0.9144287144287144,0.9146282150316138,0.9144385026737968,0.91534,1,0.9251336898395722,0.9135135135135135,0.9234972677595629,0.9037433155080213,"[1106775, 1119063, 1123379, 1127574, 1124391, 1106285, 1114772, 1110848, 1131128, 1113337, 1122673, 1113596, 1117132, 1130500]","[1176451, 1176400, 1015433, 1015437, 1015287, 1015302, 1015470, 1015732, 1015309, 1015011, 1015653, 1015041, 1176482, 1015229, 1015307, 1015210, 1015062, 1176455]","{'TTR': 0.19695614810663647, 'the': 0.06433013630889306, 'and': 0.05625205823934082, 'DT': 0.05228702849074838, 'a': 0.034699474610646784, 'to': 0.027985110596734197, 'mean_sen_len': 0.024582224576090342, 'i': 0.01848140750206923, 'IN': 0.01684784964757862, 'NNS': 0.015877412934168687}"
0.9331550802139037,0.9331507789542923,0.9332665903890159,0.9331550802139037,0.93369,1,0.9411764705882353,0.9326145552560647,0.9402173913043478,0.9251336898395722,"[1260546, 1131668, 1204476, 1112503, 1113919, 1261463, 1117888, 1125409, 1134321, 1109913, 1111305]","[1015533, 1015194, 1015140, 1015653, 1176407, 1233391, 1015126, 1015414, 1015433, 1015436, 1015508, 1015339, 1233384, 1015210]","{'TTR': 0.16881878998435226, 'the': 0.06919370434475354, 'and': 0.06384777609038914, 'DT': 0.04710299427358851, 'a': 0.027956210211160282, 'mean_sen_len': 0.02691726922569847, 'to': 0.023447047672700862, 'i': 0.02171300323252274, 'IN': 0.018069070891804085, 'lex_density': 0.017203705629799074}"
0.9278074866310161,0.9278069705093833,0.9278197208876686,0.9278074866310161,0.92761,1,0.9251336898395722,0.928,0.925531914893617,0.93048128342246,"[1109631, 1129199, 1106537, 1109012, 1127923, 1121987, 1115863, 1260942, 1116885, 1134891, 1106791, 1205125, 1123788, 1119269]","[1015247, 1015653, 1015612, 1015339, 1176481, 1233353, 1015669, 1015571, 1015341, 1015597, 1015430, 1015287, 1015302]","{'TTR': 0.18053169040577155, 'the': 0.066660040068195, 'and': 0.051028166865059274, 'DT': 0.043966743451939926, 'a': 0.036101109075765386, 'to': 0.02528225767250626, 'mean_sen_len': 0.02386066389225326, 'VBG': 0.020045290109923904, 'more': 0.01811107814054698, 'i': 0.017916484115516808}"
0.8983957219251337,0.8982094255837272,0.9013337942557543,0.8983957219251337,0.90256,1,0.9411764705882353,0.8938547486033519,0.935672514619883,0.8556149732620321,"[1261059, 1116376, 1125495, 1106156, 1123084, 1132633, 1134405, 1124891, 1116351, 1260774, 1123608]","[1015307, 1015669, 1015055, 1015287, 1015646, 1015430, 1015743, 1015140, 1015302, 1015524, 1015036, 1233391, 1015619, 1015231, 1176455, 1015345, 1015738, 1015132, 1015474, 1015229, 1015676, 1015391, 1015571, 1015565, 1015522, 1233333, 1015126]","{'TTR': 0.17218575380724538, 'the': 0.055325977644167496, 'and': 0.05483096499411252, 'DT': 0.053933754409149604, 'a': 0.034233185727886785, 'mean_sen_len': 0.02461820932665633, 'to': 0.023066906250232, 'i': 0.020940979250804036, 'RB': 0.017094217453191594, 'more': 0.016838448424768435}"
0.9385026737967914,0.9384987166379488,0.9386155606407321,0.9385026737967914,0.93899,1,0.946524064171123,0.9380053908355795,0.9456521739130435,0.93048128342246,"[1112000, 1124266, 1261819, 1106890, 1128092, 1203495, 1113349, 1114724, 1111241, 1119801]","[1015212, 1015571, 1015439, 1015533, 1015437, 1015478, 1015226, 1015197, 1015470, 1015264, 1015231, 1233401, 1015377]","{'TTR': 0.17563096792437613, 'the': 0.06778717871351905, 'and': 0.058443591399385576, 'DT': 0.04298848190713302, 'a': 0.027956062819574756, 'to': 0.02575081435126582, 'VBG': 0.02156092731928954, 'mean_sen_len': 0.021124243306735097, 'i': 0.01879264005907035, 'IN': 0.017136480217298414}"
0.9438502673796791,0.9438466543216055,0.9439645308924485,0.9438502673796791,0.9434,1,0.9358288770053476,0.9442970822281167,0.9368421052631579,0.9518716577540107,"[1134334, 1129686, 1117572, 1262780, 1130354, 840455, 1119229, 1111951, 1111188, 1131659, 1112975, 1204799]","[1176455, 1015442, 1015391, 1015449, 1176443, 1233337, 1015114, 1233333, 1015231]","{'TTR': 0.17246586113986784, 'and': 0.056937583174985935, 'the': 0.05651630029665907, 'DT': 0.03670757735438597, 'a': 0.03041331255979334, 'to': 0.029778906015726726, 'mean_sen_len': 0.025167924920311308, 'i': 0.01820975485795793, 'more': 0.016173837852682248, 'NNS': 0.015981685477368276}"
