,Key,Count,Mean Score
0,TTR,100,0.17461542985448184
1,through,100,0.03582653062721458
4,mean_sen_len,100,0.024719081764823434
5,NNS,93,0.02087555410949875
9,yourself,89,0.01934788341056939
7,any,80,0.019155447957969564
2,or,75,0.02034971826225875
10,our,71,0.020029756721801593
3,the,55,0.017911564557633368
8,RB,48,0.017971138204052602
11,PRP$,41,0.01814596346156385
6,i,33,0.017242456343288737
13,not,27,0.017421055627177398
15,PRP,26,0.017547417495835507
12,which,25,0.017626941230271562
16,been,12,0.016913662509490338
14,from,7,0.015833972395025195
18,VBG,4,0.016963245124041113
21,sentiment,4,0.015421043263160811
17,was,3,0.01642561362888301
20,lex_density,3,0.01550201575633482
19,see,2,0.015611885590351024
22,DT,1,0.015578296539299954
23,you,1,0.016719643256085635
