,Key,Count,Mean Score
0,TTR,100,0.2358854395224629
1,a,100,0.06249521334913264
2,the,100,0.049737927508738074
3,to,100,0.03560087221777646
4,DT,100,0.03580882942118726
5,RB,100,0.027697118960663635
6,mean_sen_len,100,0.03611474081447751
7,of,98,0.024135320443724354
8,and,97,0.023894170556607953
9,see,46,0.019499034956714657
11,that,23,0.017404714343577554
12,is,10,0.018129063791522196
10,RBR,8,0.01685455810714682
13,yourself,7,0.018813167396866864
14,VB,7,0.01617943448637348
15,through,4,0.017190850132208245
