,Key,Count,Mean Score
0,TTR,100,0.16734289995588203
1,a,100,0.0568104057833447
2,DT,100,0.027908640296500097
3,the,100,0.02710932594385576
6,through,93,0.021078812333227757
5,RB,89,0.02114405231920441
10,of,84,0.020055694828102617
4,and,68,0.020085421601719822
7,see,66,0.019920832048959634
8,yourself,63,0.019377203251858946
9,RBR,63,0.019205318806369418
11,mean_sen_len,47,0.01909514156055829
12,to,17,0.018734549478935724
13,you,7,0.01738351008833382
14,is,2,0.01680530277742593
15,VBD,1,0.01654613987051088
