,Key,Count,Mean Score
0,TTR,100,0.15226599507032204
1,mean_sen_len,100,0.056755599617418245
2,RB,100,0.032523482074553856
3,i,100,0.02900609357060372
4,not,100,0.02247622995464235
5,NNS,99,0.02118807981891917
8,DT,93,0.01570680144613867
6,the,91,0.01588978465903929
10,VB,73,0.015225026354092319
11,is,53,0.014488502563189079
7,lex_density,27,0.014268560188118026
15,sentiment,15,0.013129478303686862
9,have,14,0.014022357941211747
16,a,10,0.013308116483681739
12,NN,6,0.013967076031599612
13,VBN,5,0.013181057874100236
14,of,2,0.013974117637696848
22,be,2,0.014398703382473337
19,do,2,0.014436114978451094
18,VBG,1,0.013033223345919148
17,PRP,1,0.012428252053302915
20,JJ,1,0.01396559928843633
21,about,1,0.012663599828596423
23,that,1,0.013564493181022295
24,VBZ,1,0.012067731377294751
25,for,1,0.011700624982279773
26,with,1,0.014294666377656204
