,Key,Count,Mean Score
0,TTR,100,0.189269861632599
1,VBD,100,0.04462900832053953
2,of,99,0.039816939689803224
7,VBN,99,0.03909909502063401
3,in,95,0.034711755632134224
5,is,89,0.030930898563405917
4,it,88,0.030772776164540393
6,on,70,0.029752227361784886
11,VBP,44,0.02730131305323052
15,and,41,0.026557305098431273
9,for,40,0.025813392101724186
13,with,24,0.027283417681806116
16,do,23,0.02573403853115055
10,to,22,0.027222207878549468
12,a,22,0.027320686500526003
8,VBZ,19,0.026856427864786165
14,have,16,0.026325365196640377
17,this,6,0.023763149758562214
18,be,1,0.022035441738823106
19,are,1,0.022330208924406705
20,mean_sen_len,1,0.021307138538968536
