,Key,Count,Mean Score
0,TTR,100,0.146224494977202
1,mean_sen_len,100,0.03655569656855477
2,sentiment,100,0.026684399715122726
6,NN,100,0.026180163914983588
9,lex_density,100,0.024800791014211527
3,DT,99,0.025029019583258358
5,IN,99,0.024677155003304616
8,JJ,68,0.02348141407074912
7,NNS,65,0.023215078795133938
12,the,59,0.023142625298399735
10,a,50,0.023766723189192963
4,and,24,0.023438466055489326
13,to,19,0.022766742039010114
15,VBP,7,0.022182115956244898
11,VB,6,0.022220697343270673
16,VBZ,2,0.02243866653333263
14,RB,1,0.02112650757882244
17,PRP,1,0.02245282630358195
