,Key,Count,Mean Score
0,TTR,100,0.16609170092988548
1,mean_sen_len,100,0.042824032416939335
2,DT,100,0.02615182628082253
3,sentiment,100,0.0252197835027353
7,lex_density,100,0.023372259097326663
4,NN,97,0.02557545044315479
8,the,93,0.023955450193497048
5,IN,87,0.023227546160732512
6,JJ,63,0.022792852247623115
9,PRP,60,0.023301382363948794
12,a,41,0.023520646006000102
10,NNS,30,0.022387035955310965
11,and,10,0.022620866288299613
13,VBP,7,0.022540955898397486
14,RB,5,0.02162686543801042
16,VB,4,0.02233148187292999
15,to,2,0.021127405766169297
17,VBZ,1,0.021208345807717043
