,Key,Count,Mean Score
0,TTR,100,0.15562319412010475
1,mean_sen_len,100,0.04146978450924062
6,sentiment,100,0.02553903445986514
3,JJ,99,0.02584103763164457
7,DT,95,0.02385439318716637
4,NN,95,0.024014088853615806
2,a,91,0.026280635547975023
10,lex_density,81,0.023445507559258918
8,IN,71,0.023292014662020983
5,NNS,65,0.023180202358657677
11,and,53,0.023923269956513216
9,the,20,0.02291359957817261
12,VBP,12,0.023870120134373615
13,VBZ,8,0.022930918418873385
14,PRP,4,0.021376741016347376
15,RB,3,0.02236016155182967
16,VB,2,0.021406308420235852
17,to,1,0.023540914237117985
