,Key,Count,Mean Score
0,i,100,0.0779171851045131
8,this,100,0.0388313564534136
4,it,99,0.040112901189563774
3,and,95,0.034890324098474146
5,with,83,0.03146856440103808
2,in,82,0.032403190093574744
6,of,71,0.031708581782151676
1,VBD,66,0.029644060667100024
9,for,65,0.02903093573401039
7,that,53,0.02803742059008196
12,a,47,0.028093298425249352
10,VBN,39,0.029126474246349954
13,on,32,0.028947469868910874
16,is,20,0.026849217643249386
18,or,16,0.027582473053822342
14,PRP,15,0.026511810648292475
19,VBP,10,0.02737054119146769
11,RB,4,0.02488814695903288
15,not,1,0.02334297058309645
17,have,1,0.027095384342013584
20,to,1,0.027144426906842028
