accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.936,0.9359042735042735,0.9384325530818978,0.936,0.93846,1,0.973404255319149,0.9333333333333333,0.9710982658959537,0.8983957219251337,"[1202600, 1258057, 1102878, 839503, 1200697]","[985579, 985502, 985187, 985701, 985922, 985385, 985662, 985262, 985445, 985809, 985326, 985624, 1229636, 985381, 1229673, 1172773, 985551, 985214, 1172759]","{'on': 0.058920184728462166, 'it': 0.056198463832894285, 'VBN': 0.04689430709240131, 'i': 0.039106647290547775, 'VBD': 0.03648547419811381, 'for': 0.03631142534478155, 'with': 0.035312440359186154, 'but': 0.03327149365011189, 'an': 0.03215101805839753, 'of': 0.030514522353046396}"
0.96,0.9599481588560765,0.9622153599817007,0.96,0.96144,1,0.9946808510638298,0.9584487534626038,0.9942528735632183,0.9251336898395722,[1102591],"[985295, 985680, 1172766, 985922, 1172732, 985911, 985314, 985223, 985574, 985304, 985569, 985398, 985187, 985606]","{'it': 0.056227803146652294, 'i': 0.05376349989510885, 'for': 0.038981686165263305, 'in': 0.03873156746289085, 'on': 0.03807487219078104, 'with': 0.03756115784111638, 'an': 0.035615562862877946, 'VBD': 0.03245776415221538, 'VBN': 0.030405700396660386, 'that': 0.030339655315958506}"
0.9413333333333334,0.9411214405360133,0.947479365079365,0.9413333333333334,0.94472,1,1.0,0.9375,1.0,0.8823529411764706,[],"[985620, 985562, 985911, 985513, 985502, 985701, 985809, 985662, 1172759, 985733, 985187, 985704, 1172773, 1172751, 985445, 985530, 985264, 985634, 1172784, 985588, 985273, 985929]","{'VBD': 0.053658535219157893, 'it': 0.05323556244078571, 'with': 0.04902792037358589, 'i': 0.04194500386277518, 'VBN': 0.04116190535324697, 'for': 0.037380115386313334, 'so': 0.03235941034773321, 'but': 0.032077153093063665, 'that': 0.02985481144142696, 'in': 0.029575713612562934}"
0.9626666666666667,0.9626108262108263,0.9652541254125413,0.9626666666666667,0.9641,1,1.0,0.9611111111111111,1.0,0.9251336898395722,[],"[1172773, 985340, 985187, 985445, 985207, 985919, 985642, 985810, 985930, 985746, 1172766, 1172784, 985399, 985320]","{'it': 0.056072358362209106, 'i': 0.0436598163484217, 'this': 0.042411488163430995, 'an': 0.04236230677754202, 'on': 0.0395523461738173, 'for': 0.039324784781979386, 'in': 0.03913437065478301, 'with': 0.031461127937582815, 'VBD': 0.03139377335925018, 'but': 0.030737475108661916}"
0.936,0.9357688442211056,0.9420698412698412,0.936,0.9397,1,0.9946808510638298,0.9318181818181818,0.9939393939393939,0.8770053475935828,[1259396],"[985439, 985919, 1172773, 985792, 1172784, 985721, 1172732, 985537, 985563, 985262, 985512, 985748, 985515, 1229701, 985187, 985810, 985929, 985207, 985530, 985809, 985385, 985616, 985203]","{'it': 0.050574705340808004, 'with': 0.04983443623726087, 'i': 0.04830138073243953, 'VBD': 0.04580193298836914, 'in': 0.03962407788660654, 'is': 0.03709919129846435, 'but': 0.03341287695403979, 'this': 0.032447307387577236, 'that': 0.027277537255191785, 'for': 0.027258931640393363}"
0.9306666666666666,0.9304162479061976,0.9366603174603175,0.9306666666666666,0.93467,1,0.9893617021276596,0.9261363636363636,0.9878787878787879,0.8716577540106952,"[1201529, 1104024]","[985704, 985367, 985662, 985715, 1172759, 985320, 985721, 985214, 985606, 985798, 985502, 985733, 1229645, 985273, 985749, 985381, 985543, 985262, 985911, 985634, 985398, 985690, 985433, 1172781]","{'in': 0.0531102928753954, 'on': 0.05065183175585724, 'it': 0.04925320899960497, 'this': 0.049106164516899635, 'i': 0.04148553971224364, 'VBD': 0.037407055736046316, 'for': 0.03562905486390462, 'as': 0.030891338209800015, 'and': 0.030085944679737305, 'but': 0.029104481472733895}"
0.9546666666666667,0.9546079133702202,0.9568552639103334,0.9546666666666667,0.9563,1,0.9893617021276596,0.9529085872576177,0.9885057471264368,0.9197860962566845,"[839433, 839609]","[985874, 985721, 985340, 985864, 985234, 1172773, 985700, 985502, 985220, 985588, 985695, 1172781, 985749, 985203, 1229701]","{'i': 0.049858724476023596, 'in': 0.048833410995975594, 'it': 0.048713412402413274, 'an': 0.04055763237648656, 'with': 0.040506000497287066, 'VBN': 0.038278498014320664, 'VBD': 0.037459761481893374, 'on': 0.0345371336485243, 'for': 0.03412505776456574, 'that': 0.032491957820138445}"
0.9573333333333334,0.9572999297766137,0.9586321976830451,0.9573333333333334,0.95855,1,0.9840425531914894,0.9560439560439561,0.9830508474576272,0.93048128342246,"[1202045, 1103724, 1202790]","[985314, 985430, 985798, 985445, 985502, 985221, 985207, 985295, 985515, 985421, 985749, 985733, 985367]","{'it': 0.04751944963410291, 'VBN': 0.04706535729553301, 'with': 0.04361757666781327, 'i': 0.041338236705740605, 'for': 0.03993538807200057, 'VBD': 0.037865280932414626, 'that': 0.0377483945845044, 'but': 0.03573269930968505, 'an': 0.03137406522900741, 'in': 0.02980689827601749}"
0.952,0.9519069661384107,0.9553060428849902,0.952,0.95408,1,0.9946808510638298,0.9497206703910615,0.9941520467836257,0.9090909090909091,[1258568],"[985320, 985381, 985922, 985748, 985874, 985733, 985690, 1172751, 1172784, 985864, 985695, 1172766, 985563, 985515, 985662, 1229632, 1229636]","{'it': 0.046725229796196956, 'i': 0.04431789882799576, 'as': 0.040670330798382864, 'in': 0.037782350189882914, 'with': 0.03447758068054213, 'VBN': 0.03401280222012928, 'this': 0.0339900701062659, 'VBD': 0.03362411612664613, 'for': 0.03340874433772593, 'on': 0.03243880116890366}"
0.928,0.9276655924658268,0.9357261925462238,0.928,0.93267,1,0.9946808510638298,0.9226361031518625,0.9938271604938271,0.8609625668449198,[1103676],"[985385, 985701, 985229, 985749, 985314, 985234, 985399, 985663, 985295, 985882, 985381, 985537, 985398, 985291, 985340, 985320, 985919, 985616, 1172768, 985515, 985389, 985530, 985680, 985624, 1172773, 985574]","{'in': 0.051100683902762185, 'for': 0.04797656056630386, 'i': 0.04679624025238804, 'on': 0.04245232049839855, 'this': 0.04028380745871729, 'it': 0.03989401637115192, 'VBD': 0.03828215018582329, 'with': 0.03648593057140369, 'as': 0.03169300664164926, 'that': 0.03014994846439662}"
0.9493333333333334,0.9492676678843638,0.9514951678389661,0.9493333333333334,0.95116,1,0.9840425531914894,0.9473684210526315,0.9827586206896551,0.9144385026737968,"[1200806, 1103130, 1258201]","[985882, 1229682, 985864, 985389, 985690, 985810, 985680, 985545, 985513, 985930, 985484, 985203, 985701, 985430, 985502, 1172732]","{'i': 0.053092630387111046, 'it': 0.04544959464324635, 'of': 0.04538344267488071, 'in': 0.043702849164767056, 'VBD': 0.04125299777770936, 'for': 0.038631394637342255, 'with': 0.037435853002376486, 'on': 0.035270216675091545, 'so': 0.029620838714411023, 'this': 0.027858908981355762}"
0.9573333333333334,0.9572859448273243,0.9592076190476191,0.9573333333333334,0.95876,1,0.9893617021276596,0.9558011049723757,0.9885714285714285,0.9251336898395722,"[1258531, 1201554]","[985364, 985545, 985223, 985874, 1172766, 1229636, 985291, 985314, 985733, 1229645, 985809, 985421, 985234, 985930]","{'i': 0.046477551535848496, 'it': 0.040749092916786744, 'for': 0.03999513727568348, 'that': 0.03943208723091291, 'VBD': 0.03898069073455468, 'with': 0.036483496416776263, 'as': 0.03369031317228806, 'in': 0.03280042523323996, 'and': 0.03148437348821444, 'this': 0.028877636126261867}"
0.9733333333333334,0.9733124561103835,0.9746801346801347,0.9733333333333334,0.97409,1,1.0,0.9725274725274725,1.0,0.946524064171123,[],"[1229655, 985701, 985537, 985543, 985326, 985320, 985930, 985291, 985748, 985792]","{'it': 0.05152582773978581, 'i': 0.043154061382574084, 'this': 0.04211137167857713, 'for': 0.035821745599281966, 'an': 0.034773653462862236, 'that': 0.0340419224223847, 'is': 0.033901081075777634, 'VBN': 0.03188029114636215, 'on': 0.03143907088972938, 'with': 0.030740378520058488}"
0.9573333333333334,0.9572506365674761,0.9606797385620915,0.9573333333333334,0.95918,1,1.0,0.9553072625698324,1.0,0.9144385026737968,[],"[985634, 985569, 985214, 985733, 985704, 985320, 985882, 1172773, 985579, 985416, 985187, 985606, 1229636, 985663, 985571, 985620]","{'VBN': 0.0491826849448447, 'it': 0.048714290468003324, 'with': 0.045979564129842034, 'VBD': 0.04485566743709883, 'i': 0.04385485595386299, 'in': 0.03656293134265337, 'but': 0.035008261677789955, 'for': 0.03488079804098631, 'on': 0.030921349478156692, 'and': 0.030625146890658473}"
0.9386666666666666,0.938532897128317,0.9422894308943089,0.9386666666666666,0.94148,1,0.9840425531914894,0.9355742296918768,0.9823529411764705,0.893048128342246,"[1102076, 839783, 1259497]","[985314, 985512, 985367, 985721, 985579, 985701, 985389, 985690, 1172781, 985810, 985911, 985609, 1229655, 985203, 985433, 985864, 985295, 985606, 985543, 985340]","{'VBD': 0.04532017612941352, 'it': 0.045012449603753765, 'on': 0.0416554278161608, 'VBN': 0.04109530486139557, 'for': 0.03918345921146739, 'in': 0.03781069399288197, 'i': 0.03762401305673057, 'with': 0.0361128266318918, 'as': 0.03275340591253885, 'an': 0.03005181642164258}"
0.9386666666666666,0.938532897128317,0.9422894308943089,0.9386666666666666,0.94148,1,0.9840425531914894,0.9355742296918768,0.9823529411764705,0.893048128342246,"[1154726, 1257506, 1102472]","[985748, 985399, 985433, 985425, 985291, 1229655, 985616, 1172751, 985221, 985234, 985545, 985543, 985749, 985879, 985634, 1229636, 985484, 985214, 985864, 985882]","{'it': 0.050932463356638855, 'for': 0.04185057808456751, 'with': 0.04085430521049591, 'in': 0.039309310035829735, 'i': 0.038010684124334636, 'on': 0.03700351735790561, 'that': 0.03489586859860157, 'as': 0.033276359874176424, 'VBD': 0.033171147958644356, 'not': 0.030586031001688028}"
0.952,0.9519282051282053,0.9545254964802838,0.952,0.95385,1,0.9893617021276596,0.95,0.9884393063583815,0.9144385026737968,"[1200806, 1154778]","[1172781, 985929, 985264, 1172732, 985882, 1229682, 985385, 985690, 1172784, 985738, 985609, 985214, 985721, 985810, 985569, 985530]","{'i': 0.04775963733806257, 'on': 0.0459597113253678, 'VBN': 0.04578082503704407, 'in': 0.04414564404066031, 'for': 0.04379003431189039, 'VBD': 0.04222343380741218, 'it': 0.041972845447565924, 'with': 0.03444696723927356, 'that': 0.03214256504645615, 'this': 0.026937539677341533}"
0.9573333333333334,0.9572859448273243,0.9592076190476191,0.9573333333333334,0.95876,1,0.9893617021276596,0.9558011049723757,0.9885714285714285,0.9251336898395722,"[1103700, 1258813]","[985929, 985919, 985262, 1229673, 985569, 985214, 985579, 985882, 985930, 985620, 985874, 985421, 1172781, 985381]","{'it': 0.04674127061344342, 'VBN': 0.04463244936146573, 'in': 0.040581351902473195, 'VBD': 0.039668156517156376, 'i': 0.03944817345835365, 'with': 0.035821430177039607, 'that': 0.03357248505849855, 'but': 0.032389348841246446, 'an': 0.03152688353070747, 'on': 0.03100970356401786}"
0.9146666666666666,0.9142384628581232,0.9227703798301117,0.9146666666666666,0.9204,1,0.9840425531914894,0.9080459770114943,0.9813664596273292,0.8449197860962567,"[1203239, 1259700, 1103411]","[1172768, 985537, 985545, 985701, 985314, 985911, 985229, 985484, 985700, 1172759, 985291, 985929, 985326, 985864, 985502, 985576, 1229636, 985562, 985767, 985810, 985445, 985513, 985616, 985389, 1172766, 985919, 1172784, 985264, 985879]","{'it': 0.05493221074071228, 'with': 0.04946333209453311, 'VBN': 0.04412631273906481, 'in': 0.04296441708023978, 'i': 0.04253674883124501, 'VBD': 0.04240183008809324, 'for': 0.037202759230125865, 'an': 0.034153001290890085, 'on': 0.03142504961127815, 'and': 0.029111358315127945}"
0.96,0.9599481588560765,0.9622153599817007,0.96,0.96144,1,0.9946808510638298,0.9584487534626038,0.9942528735632183,0.9251336898395722,[1200697],"[985850, 1229645, 985197, 985314, 985871, 985381, 985563, 985624, 985680, 985221, 1229636, 985620, 985364, 1172766]","{'it': 0.050751331511211986, 'VBD': 0.04781601442864031, 'i': 0.043690389316002526, 'in': 0.04291662463767754, 'this': 0.03766618242700667, 'VBN': 0.03764953994395631, 'on': 0.036859106827251124, 'for': 0.035498082124391976, 'that': 0.034581877027383995, 'with': 0.03129714236255635}"
0.9466666666666667,0.9465366261716002,0.950809827464047,0.9466666666666667,0.94924,1,0.9946808510638298,0.9438202247191011,0.9940828402366864,0.8983957219251337,[1201101],"[985203, 985551, 1172751, 985214, 1172732, 985690, 985882, 985748, 985502, 1172784, 1229701, 985197, 985864, 985701, 985642, 985399, 1172759, 985662, 985515]","{'it': 0.05693597940055173, 'i': 0.04547109385410425, 'for': 0.044497113858764495, 'on': 0.04429988596665027, 'in': 0.03522930551006547, 'is': 0.031325129712128634, 'with': 0.031179730060557024, 'VBD': 0.031113976799172504, 'an': 0.029298899538324794, 'that': 0.029228244604498452}"
