,Key,Count,Mean Score
0,TTR,100,0.23681570768277255
1,have,100,0.049052775524318346
2,do,100,0.04783169767787118
3,VBP,100,0.04476126066044884
4,not,100,0.04538485280092895
5,that,92,0.028172705279748158
7,what,83,0.023875581456939635
6,you,73,0.0237673534552323
8,of,73,0.026202331986996705
11,said,70,0.02418424435190524
9,be,64,0.025596119092950724
10,with,19,0.022026081087177494
14,and,14,0.0217513812936464
13,VBN,6,0.022799523810806823
12,did,3,0.021901630967049612
16,so,2,0.021839788529678564
15,on,1,0.01787183594955963
