,Key,Count,Mean Score
0,mean_sen_len,100,0.05863285889114975
2,RB,100,0.032315735784285066
4,a,99,0.029018399289667436
1,and,95,0.029736659400344846
8,TTR,82,0.025767852649320924
3,was,79,0.026767016801402557
11,sentiment,73,0.025839105775185212
9,NN,65,0.025844817711806918
5,to,64,0.0264016749720513
6,PRP,63,0.025770146908123466
7,VBD,53,0.025485904006483647
10,JJ,43,0.02562515462073948
13,VB,28,0.025236466998275465
14,VBG,18,0.02566843970552502
12,IN,16,0.02457570754755419
15,DT,7,0.024073710607647313
17,lex_density,5,0.024422394358999136
18,the,4,0.024642833481986377
16,of,3,0.025762260978146104
20,VBN,2,0.024361366378117602
19,PRP$,1,0.02379626920112345
