,Key,Count,Mean Score
0,mean_sen_len,100,0.11437431644239576
2,this,100,0.058716157891545065
3,or,100,0.048158742369978
1,VBP,99,0.04140612113529452
7,what,93,0.035128475604604935
4,that,91,0.03394683104158221
5,with,80,0.03323328097792904
10,VBD,58,0.031103346892331345
6,is,53,0.029336322187190414
9,have,37,0.031878102564354645
13,so,36,0.02874818279748649
11,you,30,0.028435880221094736
8,but,30,0.027635944851623014
14,VBZ,30,0.0290505340781045
12,from,23,0.027276104816249064
16,of,16,0.029406657344797568
17,if,9,0.02644141763224106
18,about,9,0.02638781441487223
15,i,3,0.02719810204386502
19,on,2,0.026467781552507938
20,TTR,1,0.020876639393886558
