,Key,Count,Mean Score
0,TTR,100,0.056308168053124136
1,mean_sen_len,100,0.05643973360851388
2,VBD,100,0.038343704109004215
5,NN,94,0.02542634395533837
14,sentiment,90,0.024204256285568413
7,RB,87,0.025112955328347068
6,PRP,80,0.023974068472019147
4,a,59,0.02369363584428337
10,VBG,47,0.024036230849842823
16,IN,45,0.022932992642640846
12,to,43,0.023500170264860877
13,lex_density,38,0.023133281289799235
3,VBP,31,0.02428208114207956
15,JJ,28,0.023303118744343158
8,DT,20,0.022174152470085712
19,and,14,0.022748469963048516
17,PRP$,9,0.02281445577889814
9,VB,6,0.022128554033477254
11,in,5,0.022723914524076363
18,i,2,0.022708569165701475
20,the,2,0.021968954733540345
