accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9525,0.9524854486686547,0.953054992365648,0.9525,0.95332,1,0.97,0.9516539440203562,0.9689119170984456,0.935,"[1101239, 839185, 838612, 1255506, 1101191, 839252]","[974420, 973872, 974313, 974207, 968171, 968088, 974098, 1228254, 974107, 974105, 974080, 974066, 1171275]","{'mean_sen_len': 0.22077592759592746, 'TTR': 0.05519471282203609, 'VBD': 0.05308354230881227, 'and': 0.05242052353267091, 'as': 0.036467977645392106, 'with': 0.03594745603092107, 'that': 0.034806722968229294, 'of': 0.032262748339594936, 'VBG': 0.021834413458393338, 'from': 0.019808434932471683}"
0.9725,0.972486071073481,0.973458753976803,0.9725,0.97311,1,0.995,0.9718670076726342,0.9947643979057592,0.95,[839044],"[1171318, 974153, 973805, 1228249, 1171301, 973924, 1228206, 974048, 974031, 973787]","{'mean_sen_len': 0.20451099032918227, 'TTR': 0.0759132280607605, 'VBD': 0.05273113572329181, 'that': 0.047767570106312045, 'and': 0.043592247216975154, 'with': 0.03282819308739018, 'as': 0.032770288249962615, 'of': 0.03208674526890052, 'from': 0.028395920652139233, 'on': 0.019792209520590617}"
0.9525,0.9524640509385222,0.9538729657213071,0.9525,0.95377,1,0.98,0.9511568123393316,0.9788359788359788,0.925,"[1197532, 1101043, 838559, 1197373]","[973850, 974189, 1171341, 1228255, 974207, 1171303, 973960, 973904, 974115, 973802, 974134, 1171267, 973765, 967715, 1171270]","{'mean_sen_len': 0.1854810377810692, 'VBD': 0.06240352515248278, 'TTR': 0.05576525124371543, 'that': 0.04793956132220394, 'as': 0.04604206265652411, 'and': 0.03092629167434358, 'with': 0.02816504851441577, 'VBG': 0.02399994800182887, 'of': 0.023884356823767508, 'but': 0.02174751979729355}"
0.9625,0.9624810060092922,0.9634384628873469,0.9625,0.96333,1,0.985,0.9616368286445013,0.9842931937172775,0.94,"[1100340, 839193, 1255898]","[974386, 1171271, 974321, 973957, 973787, 974281, 974131, 973782, 974248, 974159, 973928, 967668]","{'mean_sen_len': 0.1749522969564788, 'TTR': 0.06790959611913981, 'VBD': 0.05793471884640869, 'that': 0.042390761022377085, 'and': 0.040266137592651095, 'of': 0.03781801472127573, 'as': 0.036737534597727425, 'with': 0.035763661221662184, 'on': 0.022178680963749167, 'for': 0.019322992003096822}"
0.95,0.949938674876724,0.9522158577027434,0.95,0.95169,1,0.985,0.9481865284974094,0.9838709677419355,0.915,"[1254227, 1254251, 1200255]","[974078, 974248, 974364, 1228243, 1228241, 974227, 974300, 974023, 973928, 1171303, 974061, 973975, 974080, 973654, 974105, 967857, 974141]","{'mean_sen_len': 0.17664241455771468, 'VBD': 0.05918440746639194, 'as': 0.05085994569166074, 'that': 0.04806447076232223, 'TTR': 0.04791256086398136, 'and': 0.04488638859818376, 'with': 0.03372432348816663, 'of': 0.028517571314446308, 'IN': 0.021858090031215797, 'for': 0.020436974111248854}"
0.9725,0.9724957024535084,0.9727954971857412,0.9725,0.97284,1,0.985,0.9721518987341772,0.9846153846153847,0.96,"[1198940, 1199577, 839162]","[1171344, 973902, 1228171, 973960, 1170521, 974248, 967944, 974121]","{'mean_sen_len': 0.198760908386444, 'TTR': 0.05739657108863509, 'VBD': 0.056509664174539814, 'that': 0.04516080126469915, 'and': 0.04482246062684427, 'as': 0.038129484820265416, 'with': 0.03566147927988368, 'from': 0.02223413104152159, 'you': 0.021664230709352902, 'VBG': 0.021157309277916293}"
0.975,0.9749899959983993,0.975761217948718,0.975,0.97549,1,0.995,0.9744897959183674,0.9947916666666666,0.955,[839099],"[974413, 967869, 974107, 1171346, 974264, 974046, 967598, 1228171, 974153]","{'mean_sen_len': 0.15713777617314256, 'TTR': 0.06372731776823724, 'VBD': 0.05707055191334864, 'that': 0.04577646233165943, 'and': 0.04295202356801758, 'as': 0.04181109462282175, 'with': 0.03925591800603408, 'of': 0.03909381699709371, 'from': 0.02332217633184995, 'VBG': 0.02046112703517168}"
0.9525,0.9524331090596151,0.9550597108736645,0.9525,0.95422,1,0.99,0.9506493506493506,0.9891891891891892,0.915,"[1101243, 1198237]","[1171281, 974281, 973933, 973983, 967807, 974257, 967668, 974227, 973685, 974107, 1228206, 974133, 973843, 973927, 1171299, 967661, 973887]","{'mean_sen_len': 0.17755285134236312, 'VBD': 0.0628020213680209, 'TTR': 0.06047565722041636, 'as': 0.04623113481355477, 'and': 0.03992158339667182, 'that': 0.03648919527399137, 'of': 0.034112524530350324, 'with': 0.03294148024859363, 'VBG': 0.02307855149481965, 'VBN': 0.022533808530621778}"
0.9425,0.9423959526895456,0.9457203293797687,0.9425,0.94484,1,0.985,0.9399477806788512,0.9836065573770492,0.9,"[1100117, 839044, 1256407]","[974179, 973840, 1171352, 974420, 1171303, 974171, 973675, 973806, 1228249, 1228172, 973955, 974105, 973977, 973776, 1171299, 1171296, 974419, 1227421, 1228254, 973926]","{'mean_sen_len': 0.17511351344005388, 'VBD': 0.06404865034490183, 'TTR': 0.05954097454789539, 'and': 0.03677302640880067, 'as': 0.036091767795930624, 'that': 0.03564287324904269, 'with': 0.03358538945113054, 'of': 0.030343812799694246, 'you': 0.023051682754608366, 'VBG': 0.021051779983206002}"
0.9525,0.9524331090596151,0.9550597108736645,0.9525,0.95422,1,0.99,0.9506493506493506,0.9891891891891892,0.915,"[1255937, 1199643]","[974171, 973836, 1228234, 974048, 974285, 974160, 974428, 974102, 1171341, 974019, 974189, 973739, 973727, 973825, 974408, 973795, 974180]","{'mean_sen_len': 0.19817075137929524, 'TTR': 0.06421176268534441, 'VBD': 0.05258109993049838, 'as': 0.04281093726680998, 'that': 0.038732352340692104, 'and': 0.036810468902437166, 'of': 0.03210270247677116, 'with': 0.02740530614382295, 'from': 0.024054728654469563, 'VBN': 0.021316914113140358}"
