,Key,Count,Mean Score
0,TTR,100,0.09277630189666701
1,DT,100,0.05440144677677882
3,the,100,0.05765589101605028
2,there,99,0.040523638836881176
4,or,97,0.04175944845603576
6,all,90,0.03136471684266544
10,one,82,0.031286792632342346
11,when,60,0.02887795578615086
5,a,57,0.028749472967067348
8,lex_density,47,0.024973575919650062
20,their,25,0.02497237974279013
7,any,24,0.027626943838036874
18,and,23,0.024254706402491645
9,each,18,0.02549895200745622
12,about,15,0.026586310582894384
13,at,13,0.023957708284633387
17,so,11,0.025996592076941497
16,some,7,0.023389420947341318
15,through,5,0.025572074290719043
25,where,5,0.02496112098662187
27,between,5,0.0233581213013116
14,only,4,0.023338526531012083
22,other,4,0.028546874748940125
21,it,2,0.022829452489440093
24,if,2,0.02446808872980084
19,such,1,0.0238992910441014
23,its,1,0.02096989043666226
26,into,1,0.023867186746511882
28,have,1,0.024369641424273912
29,over,1,0.025252996277699644
