accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9689265536723164,0.9689263057096118,0.968941521961185,0.9689265536723164,0.96901,1,0.9717514124293786,0.9688385269121813,0.9715909090909091,0.9661016949152542,"[841708, 1153995, 1209945, 1150908, 1209196]","[1067930, 1067578, 1067620, 1067734, 1067478, 1239862]","{'TTR': 0.17478636414632873, 'or': 0.06008051025304059, 'the': 0.049490931906142156, 'and': 0.04702923019775348, 'DT': 0.028120605388488575, 'such': 0.025684197198085186, 'mean_sen_len': 0.02242531001931726, 'a': 0.022400371633040952, 'one': 0.016178503488448695, 'at': 0.015577236226803097}"
0.9576271186440678,0.9576186637507883,0.9579925888065421,0.9576271186440678,0.95822,1,0.9717514124293786,0.9570200573065902,0.9709302325581395,0.943502824858757,"[1151288, 1209852, 1152873, 842158, 1210072]","[1067578, 1067895, 1067635, 1067648, 1067934, 1067336, 1239860, 1067734, 1067945, 1067386]","{'TTR': 0.18901217639761644, 'or': 0.0637708009209375, 'the': 0.050388113767184856, 'and': 0.04859957147008231, 'DT': 0.026270312113137982, 'a': 0.023388113631352264, 'such': 0.02170877988922777, 'is': 0.021636062239384402, 'mean_sen_len': 0.021224414607471445, 'they': 0.018530523668430773}"
0.96045197740113,0.9604064806825806,0.9625781625781625,0.96045197740113,0.96175,1,0.9943502824858758,0.9590643274853801,0.9939393939393939,0.9265536723163842,[1153995],"[1067767, 1182901, 1182957, 1067524, 1067877, 1067657, 1067734, 1067635, 1067764, 1239814, 1067895, 1067974, 1067438]","{'TTR': 0.15947049711726868, 'or': 0.06838386990460321, 'and': 0.053031794018075444, 'the': 0.037921737005019135, 'a': 0.028227060507641073, 'DT': 0.023661801934541437, 'such': 0.022653740332363715, 'at': 0.020662255759202493, 'is': 0.01992482220109406, 'one': 0.018891367580108925}"
0.96045197740113,0.9604317695525819,0.9613945306252999,0.96045197740113,0.96133,1,0.9830508474576272,0.9595375722543352,0.9822485207100592,0.9378531073446328,"[1209981, 841821, 1266677]","[1068027, 1067834, 1182946, 1239790, 1239862, 1067481, 1067792, 1067895, 1067376, 1067965, 1067370]","{'TTR': 0.17403067370373737, 'or': 0.06230480798024989, 'and': 0.04763765231345709, 'the': 0.04735367533514643, 'such': 0.03361328761609577, 'from': 0.025751675407591348, 'a': 0.02133068043700789, 'about': 0.0201966161141313, 'at': 0.019782457543672177, 'DT': 0.019364375552195744}"
0.9887005649717514,0.9886991221069433,0.988950276243094,0.9887005649717514,0.98883,1,1.0,0.9885714285714285,1.0,0.9774011299435028,[],"[1182957, 1067620, 1067418, 1067376]","{'TTR': 0.20516299012085748, 'or': 0.05548907380673449, 'the': 0.051592395418181766, 'and': 0.040881797816308005, 'a': 0.025330571446069518, 'such': 0.023990431440617018, 'there': 0.02233735410524191, 'mean_sen_len': 0.019593680358611948, 'is': 0.019386342337149736, 'DT': 0.018353354262628338}"
0.9887005649717514,0.988700204290092,0.9887629688747007,0.9887005649717514,0.98864,1,0.9830508474576272,0.9887640449438202,0.9832402234636871,0.9943502824858758,"[1210851, 1153373, 1210524]",[1067336],"{'TTR': 0.18657161697711214, 'and': 0.06539291598015225, 'or': 0.056499272150985505, 'the': 0.05093194984687364, 'from': 0.02504607636768624, 'one': 0.02454986069689013, 'DT': 0.02189853337839695, 'a': 0.0199257779409621, 'mean_sen_len': 0.01969374446417092, 'about': 0.018359421405065603}"
0.9717514124293786,0.9717505107252298,0.9718116520351157,0.9717514124293786,0.97191,1,0.9774011299435028,0.9715909090909091,0.9771428571428571,0.9661016949152542,"[1210793, 1265916, 1266226, 1210729]","[1067934, 1067834, 1068027, 1067702, 1239862, 1067489]","{'TTR': 0.16409386984013313, 'or': 0.06354237114074894, 'and': 0.048424023037050706, 'the': 0.04746184936465137, 'from': 0.028514808488761048, 'such': 0.026185023677040797, 'one': 0.022169632747200334, 'a': 0.020010955381054667, 'mean_sen_len': 0.019462776433527635, 'they': 0.018201900621891868}"
0.963276836158192,0.9632624713611725,0.964002557544757,0.963276836158192,0.96399,1,0.9830508474576272,0.962536023054755,0.9823529411764705,0.943502824858757,"[841818, 1267638, 1210357]","[1067418, 1067734, 1067687, 1239862, 1182946, 1067614, 1067657, 1239809, 1067481, 1067336]","{'TTR': 0.1840199562734418, 'or': 0.06156974032414255, 'and': 0.0481888613618684, 'the': 0.046814424182213044, 'such': 0.02775837713148248, 'DT': 0.024553103567942033, 'one': 0.023584046580061614, 'a': 0.02273068945343723, 'about': 0.019980515332293346, 'from': 0.018106065899589793}"
0.9491525423728814,0.9491509193054137,0.9492098962490024,0.9491525423728814,0.94944,1,0.9548022598870056,0.9488636363636364,0.9542857142857143,0.943502824858757,"[1266457, 1150698, 1151559, 1209559, 1153222, 1151702, 1153917, 1208900]","[1067934, 1239832, 1067599, 1067578, 1067596, 1067336, 1067632, 1067648, 1067524, 1067481]","{'TTR': 0.18911274792829832, 'or': 0.06250137685500885, 'the': 0.05018451772032063, 'and': 0.04121295954708541, 'a': 0.029570913414100914, 'such': 0.026977879055248084, 'there': 0.024676926599272057, 'DT': 0.02075614563580643, 'one': 0.019030878116270307, 'from': 0.017146945609465718}"
0.9774011299435028,0.977400408580184,0.977462090981644,0.9774011299435028,0.97753,1,0.9830508474576272,0.9772727272727273,0.9828571428571429,0.9717514124293786,"[1154023, 1152975, 1266472]","[1067734, 1067657, 1067376, 1067620, 1239862]","{'TTR': 0.1888643664053601, 'or': 0.06232846713529308, 'the': 0.059167080673111556, 'and': 0.05389628900236136, 'such': 0.02443774907500343, 'when': 0.021684587105009326, 'is': 0.01981229580974587, 'a': 0.019792065185024233, 'mean_sen_len': 0.016575733330393746, 'DT': 0.015601087364972475}"
