,Key,Count,Mean Score
0,TTR,100,0.08269949493740572
1,and,100,0.04650979001073132
3,VBG,100,0.049254682334015074
4,to,100,0.04078869817817736
2,RB,99,0.040220379495434444
5,of,91,0.03116668246683114
11,VB,87,0.03116993031327073
6,as,81,0.030597927626718504
7,mean_sen_len,79,0.027613504023865167
12,VBN,52,0.02719048783437419
10,in,33,0.026245504135395576
9,with,26,0.026162474204761994
13,by,18,0.02597904811179906
8,a,17,0.025015238190925302
14,PRP,9,0.025228642976106677
17,VBP,5,0.024521838271925354
15,NNS,1,0.02331627561401609
16,from,1,0.02744404531347087
18,that,1,0.023989965094541214
