,Key,Count,Mean Score
0,TTR,100,0.1722722801830049
1,of,100,0.06854204057606114
2,the,100,0.07790909919789903
3,to,100,0.056116078723071026
4,and,100,0.06432167908914518
5,DT,100,0.042010482351265276
6,mean_sen_len,100,0.03470668015450294
7,or,100,0.03680552845195387
10,in,81,0.02507941739908756
8,RB,68,0.024609050501980433
9,VBG,21,0.022232194684733204
12,this,19,0.02026098880947931
11,lex_density,5,0.020984442213842786
13,at,2,0.02087843901682042
16,a,2,0.01932420966245712
14,on,1,0.020794755547522845
15,an,1,0.02466375190504239
