,Key,Count,Mean Score
0,TTR,100,0.1283709620596549
1,the,100,0.07057303842944418
2,DT,100,0.05418118879997853
4,and,98,0.03303431251510949
6,an,90,0.03172503514424863
5,of,71,0.024500955848857826
7,through,69,0.02734727738657733
15,when,59,0.026678056407283494
3,or,51,0.0279425687371393
14,into,49,0.02680025038695349
12,before,47,0.02442248918474023
13,at,42,0.024846785756629273
10,this,40,0.027753245857550467
8,where,19,0.024644642948112704
9,it,12,0.023952332573965233
19,one,7,0.02282216129962163
23,a,7,0.021190829728580916
11,in,6,0.02390558012567263
18,have,5,0.024761345634353123
17,them,5,0.024675097095683506
22,all,5,0.02090059097227371
21,on,4,0.02375430947158443
29,over,3,0.021731763214163948
16,for,3,0.021562296508115305
27,there,3,0.021565318879199904
20,not,1,0.02720306309796162
25,so,1,0.02146628391122217
24,but,1,0.025326444322600623
26,such,1,0.020626352520602974
28,their,1,0.023728525443187775
