,Key,Count,Mean Score
0,TTR,100,0.09822230108164315
1,and,100,0.046290425640904756
2,to,100,0.03957580511750867
3,VBG,100,0.0437364845433719
5,RB,100,0.03662689117127981
4,mean_sen_len,93,0.029397857666908386
7,of,93,0.0303563769591901
6,VB,79,0.03011473412094038
10,as,67,0.029289952304651447
8,PRP,34,0.02609390464449287
11,with,32,0.0269494135586888
9,a,31,0.026365957928386387
14,in,26,0.02553263722599624
13,VBN,25,0.026538495673881203
12,by,17,0.02635032028301555
15,VBP,3,0.022518030508809028
