,Key,Count,Mean Score
0,TTR,100,0.07407024246198275
1,or,100,0.07097385983276648
2,mean_sen_len,100,0.057743561813913324
3,we,100,0.03518408604382661
10,an,96,0.03942815414060215
4,the,90,0.03221047886160479
5,this,88,0.03123782842769621
13,a,79,0.031132267845495533
6,as,74,0.028107288648706985
8,on,49,0.02849004903807626
7,PRP$,36,0.027517272146063254
14,DT,23,0.02683162361187108
9,at,19,0.026296952474788356
12,you,14,0.0254156920294168
18,with,8,0.02504591215726936
22,is,8,0.025158622121055102
11,from,4,0.02279800512386379
17,your,4,0.02317585016896275
16,by,3,0.027646837222674997
20,when,2,0.023872571220635384
15,our,1,0.025734098683713857
19,for,1,0.022023870315640584
21,one,1,0.022931363167373278
