,Key,Count,Mean Score
1,RB,100,0.03791284325058594
2,TTR,100,0.03779146199075694
3,and,100,0.03784825562628495
0,VBP,97,0.03193529838529501
9,mean_sen_len,93,0.027261314324843983
10,VBG,86,0.029599440165894924
4,a,72,0.027340985267887353
14,NN,57,0.02652890426741376
11,NNS,57,0.02625844581956066
8,PRP,56,0.02686208830276145
7,is,43,0.026039755892837312
5,for,34,0.026786452279062158
12,of,21,0.02680774900674684
15,in,20,0.02555013132702732
6,it,13,0.025718326194010068
22,has,12,0.02810841389996167
18,IN,8,0.024105828765767293
21,VBN,5,0.025148114808183762
23,VBZ,5,0.024976074277384977
19,with,4,0.024872497516910085
20,JJR,4,0.025565883646380495
16,are,4,0.02528595713712669
25,JJ,3,0.024431795558394333
26,be,3,0.024037026729822625
13,to,1,0.02325668844203435
17,lex_density,1,0.023489913327535198
24,that,1,0.02453480416298835
