,Key,Count,Mean Score
2,mean_sen_len,100,0.03923076804408471
5,we,100,0.03551931862225936
4,said,100,0.03742252808384133
0,or,99,0.044440276500313486
1,this,97,0.037748553202640166
6,PRP$,97,0.032089675761205756
3,on,95,0.03152087356000916
11,you,52,0.02430259178402444
8,TTR,49,0.023116495438279205
7,at,39,0.02562782583608332
12,which,39,0.024467880945628386
13,with,33,0.02552522484113351
10,about,32,0.024618822708654817
9,for,15,0.023335863747478845
18,our,14,0.02316798105637548
17,your,10,0.022501292979762368
16,an,10,0.022846437399489432
19,PRP,5,0.024060201068800087
20,as,4,0.02278862085072407
22,is,3,0.021441057893207507
15,if,3,0.021973756234292208
14,not,1,0.022500223040847155
21,a,1,0.021592818878653785
23,in,1,0.027067727467762162
24,by,1,0.018188905521581457
