,Key,Count,Mean Score
0,or,100,0.05282326446420283
1,TTR,100,0.054388148110940844
2,mean_sen_len,100,0.04390322641372132
3,this,100,0.03669593958841474
5,we,99,0.03350619442905384
9,said,85,0.026599993988755354
8,a,76,0.02853535485788332
7,on,71,0.030080624404053867
6,PRP$,66,0.02759947537082232
11,an,51,0.028388317702382437
15,the,39,0.025890870226501494
12,which,27,0.0244714337173246
10,by,26,0.025835101881280683
14,for,17,0.0249324595024727
4,with,16,0.025136974984149355
16,is,10,0.024400565752305103
19,at,6,0.02498258075415961
13,you,3,0.026039416177593557
17,as,3,0.023238906596012406
18,from,3,0.02423741570443216
20,in,2,0.02245124271126213
