,Key,Count,Mean Score
0,or,100,0.05646878860605543
1,mean_sen_len,100,0.04356544134866141
2,TTR,100,0.04217656744043402
4,this,100,0.04181271165930976
5,we,97,0.028538912712339055
3,on,89,0.02771129119309959
8,PRP$,74,0.025880337356220716
11,an,72,0.025398557947406548
10,which,42,0.023127247039259443
9,from,37,0.023036428762232563
7,by,33,0.023333790139460305
13,you,32,0.022596553087089147
18,PRP,30,0.022311776349238956
15,with,29,0.023264649491966702
19,as,16,0.02257850658374683
6,is,16,0.021919655085938336
17,for,11,0.022257594507034354
14,the,10,0.022284104189459496
12,a,9,0.022752854417484827
16,and,1,0.02135129665667888
20,said,1,0.01905491217922615
21,in,1,0.02030680180764301
