accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9238754325259516,0.9236266594296311,0.9291114143867265,0.9238754325259516,0.9281,1,0.9793103448275862,0.9191176470588235,0.9765625,0.8680555555555556,"[1247309, 1089759, 1246208]","[1161258, 893531, 893226, 893474, 893576, 893470, 1218156, 1218122, 893430, 893661, 893382, 893113, 893240, 893378, 893372, 1161325, 893602, 893393, 893490]","{'mean_sen_len': 0.10588739499976457, 'or': 0.07198793263924874, 'from': 0.04352092382350168, 'on': 0.03806511140080518, 'such': 0.037107778380900076, 'which': 0.03476823614961916, 'as': 0.031186702711007038, 'when': 0.02945297433206958, 'said': 0.028003235515296043, 'by': 0.026603258056987773}"
0.9273356401384083,0.9271261950370239,0.9319676913172928,0.9273356401384083,0.93115,1,0.9793103448275862,0.9230769230769231,0.9767441860465116,0.875,"[1189009, 1088520, 1246008]","[893445, 893531, 893140, 893226, 1218167, 893626, 1161290, 893575, 893506, 893516, 893345, 893142, 893312, 1161267, 893378, 893237, 893507, 893472]","{'mean_sen_len': 0.11442801795856061, 'or': 0.06630056064631101, 'which': 0.04085731567113748, 'as': 0.03772855239285329, 'such': 0.03535574558034554, 'by': 0.03511105131967554, 'said': 0.030918411118915468, 'on': 0.02649513845310592, 'when': 0.02597059407878064, 'from': 0.022433987105063655}"
0.9480968858131488,0.9479835180749909,0.9517393152005393,0.9480968858131488,0.9505,1,0.993103448275862,0.9454545454545454,0.9923664122137404,0.9027777777777778,[1089093],"[893140, 1161264, 893645, 893333, 893226, 1161306, 893637, 1161325, 893539, 893507, 893371, 893350, 893298, 893576]","{'mean_sen_len': 0.10453310809876651, 'or': 0.06773538084288158, 'which': 0.04336322297202595, 'by': 0.039794045365456616, 'as': 0.03621629706982226, 'such': 0.034574947389361656, 'said': 0.031838874279241036, 'with': 0.03123351548998365, 'from': 0.030471013351211072, 'DT': 0.024330836688774983}"
0.9273356401384083,0.9270683793703801,0.933308341263186,0.9273356401384083,0.9316,1,0.9862068965517241,0.922509225092251,0.984251968503937,0.8680555555555556,"[1189379, 1246808]","[893504, 1218156, 893577, 893237, 893124, 1161256, 893602, 893382, 1161264, 893226, 893378, 893404, 893142, 893575, 893312, 893600, 893437, 1161306, 893596]","{'mean_sen_len': 0.10985551552159675, 'or': 0.07332564065504778, 'by': 0.0469200895194279, 'which': 0.03401134403005877, 'from': 0.033247099857456226, 'said': 0.03161344555062866, 'as': 0.029522445634911437, 'such': 0.027598658823094823, 'through': 0.025977858953306166, 'this': 0.023713564690731267}"
0.9515570934256056,0.9514931999037449,0.9537195149378679,0.9515570934256056,0.95333,1,0.9862068965517241,0.9496402877697842,0.9850746268656716,0.9166666666666666,"[1089001, 1246395]","[893329, 893240, 893245, 893474, 893613, 1218101, 893177, 893507, 893372, 893577, 893602, 893226]","{'mean_sen_len': 0.10626793681702537, 'or': 0.0724970657639204, 'said': 0.033855049270052534, 'such': 0.03329044992437935, 'which': 0.03149495639226761, 'as': 0.031166428385602844, 'when': 0.028906708529140873, 'is': 0.028859615237505083, 'by': 0.023503208330037738, 'from': 0.022857186705793953}"
0.9550173010380623,0.9549687707770181,0.9567803592025045,0.9550173010380623,0.95652,1,0.9862068965517241,0.953405017921147,0.9851851851851852,0.9236111111111112,"[1088096, 1247309]","[893264, 893507, 1161326, 893142, 893474, 893283, 893430, 893542, 1218167, 1161311, 893645]","{'mean_sen_len': 0.11191409443466016, 'or': 0.05815764963099301, 'which': 0.03964314864160926, 'said': 0.036162909992297494, 'as': 0.035962843740293356, 'by': 0.03432030185287215, 'through': 0.03270712995677682, 'such': 0.030693147361685047, 'from': 0.028912673630107105, 'when': 0.02641404591363294}"
0.9204152249134948,0.9201225107389878,0.926287856847575,0.9204152249134948,0.92508,1,0.9793103448275862,0.915129151291513,0.9763779527559056,0.8611111111111112,"[1190555, 1089130, 1245465]","[893245, 893140, 893430, 893283, 893507, 893504, 1161264, 893125, 893590, 893100, 893404, 893256, 893177, 893312, 893345, 1218158, 893173, 893490, 893113, 893506]","{'mean_sen_len': 0.1099474212892808, 'or': 0.06652153530812947, 'which': 0.04571283037669665, 'when': 0.038709727605644895, 'from': 0.036390606972178524, 'by': 0.034626036568720375, 'said': 0.03266105396699333, 'on': 0.030147118878640907, 'such': 0.029210810429999, 'is': 0.02780111256329939}"
0.972318339100346,0.9722944527198957,0.9737657462062103,0.972318339100346,0.97315,1,1.0,0.9714285714285714,1.0,0.9444444444444444,[],"[893312, 893590, 893596, 893531, 1161306, 893226, 893350, 1161264]","{'mean_sen_len': 0.10897097605824152, 'or': 0.06549898029937588, 'which': 0.04141129432767357, 'from': 0.03570377207272736, 'by': 0.032016876618614444, 'said': 0.03076540500759103, 'as': 0.029379911052384227, 'through': 0.028971207117433048, 'DT': 0.025488216886443107, 'such': 0.0252070948434613}"
0.9653979238754326,0.9653680658998697,0.9668227152452675,0.9653979238754326,0.96644,1,0.993103448275862,0.9642857142857143,0.9926470588235294,0.9375,[1245446],"[893594, 893504, 1218156, 893435, 893175, 1161311, 1161290, 893549, 893472]","{'mean_sen_len': 0.08912663175103575, 'or': 0.06431027080415608, 'such': 0.04316641205184082, 'which': 0.04196039606497919, 'by': 0.036264227178768274, 'said': 0.030494368610579917, 'from': 0.030204824440122357, 'through': 0.02981600183569934, 'as': 0.026075169435005208, 'on': 0.02366176031180017}"
0.9377162629757786,0.9374601177369344,0.9445942216655698,0.9377162629757786,0.94156,1,1.0,0.9333333333333333,1.0,0.875,[],"[893113, 893531, 893488, 893092, 893245, 893298, 893222, 893329, 893661, 893333, 893125, 893596, 893177, 1218167, 893637, 1218158, 893439, 1161290]","{'mean_sen_len': 0.10345461531109892, 'or': 0.07136227391238058, 'such': 0.04342082589091845, 'said': 0.03638103695042168, 'which': 0.03622589875516917, 'from': 0.03161471804247114, 'as': 0.02793337361066732, 'on': 0.025780722638613356, 'by': 0.02567912786435878, 'when': 0.024848677192217346}"
0.9134948096885813,0.9129191165780633,0.9242063378584298,0.9134948096885813,0.92013,1,0.993103448275862,0.9056603773584906,0.9917355371900827,0.8333333333333334,[1188630],"[893500, 893142, 893576, 893382, 893439, 893113, 893372, 893472, 893125, 1161273, 1218167, 893590, 893298, 893226, 893256, 893092, 1161311, 1161267, 893437, 893474, 893430, 893245, 893507, 893099]","{'mean_sen_len': 0.10762696268027709, 'or': 0.0796855021865572, 'as': 0.037110812015825265, 'such': 0.035465821102774325, 'which': 0.03480002810699121, 'by': 0.032184815392398564, 'when': 0.03128737278013307, 'through': 0.031183833293184474, 'said': 0.02957191921137834, 'from': 0.028812293905857995}"
0.9307958477508651,0.930511241929927,0.9375615998835479,0.9307958477508651,0.93506,1,0.993103448275862,0.9259259259259259,0.9920634920634921,0.8680555555555556,[1247472],"[893626, 893549, 893614, 893125, 1161256, 893312, 893092, 893362, 893165, 893594, 893222, 1161311, 893474, 1218158, 893124, 893378, 893470, 893298, 893590]","{'mean_sen_len': 0.1093162053017594, 'or': 0.0839660252687789, 'from': 0.03885746984836655, 'through': 0.03668867494179836, 'said': 0.03373185370672486, 'when': 0.031138400945752487, 'which': 0.02990829232671845, 'such': 0.029325805383592907, 'as': 0.028604653843745224, 'by': 0.02696007894293578}"
0.9446366782006921,0.944497100098768,0.9488341259836982,0.9446366782006921,0.94737,1,0.993103448275862,0.9416058394160584,0.9923076923076923,0.8958333333333334,[1246395],"[893142, 893531, 893333, 893577, 893506, 893362, 893372, 893353, 1161329, 893507, 893177, 893488, 893614, 893600, 893175]","{'mean_sen_len': 0.11239697158608292, 'or': 0.05353486506445309, 'which': 0.04191030603834436, 'as': 0.04147588792146917, 'such': 0.03495467087290217, 'from': 0.031320319390607705, 'said': 0.02803700396711597, 'through': 0.027300543345604902, 'by': 0.026399359887328982, 'when': 0.026310289045004594}"
0.9204152249134948,0.9201225107389878,0.926287856847575,0.9204152249134948,0.92508,1,0.9793103448275862,0.915129151291513,0.9763779527559056,0.8611111111111112,"[1245482, 1088575, 836438]","[893430, 893600, 893594, 1218158, 893240, 893347, 1161267, 893439, 893637, 893298, 893596, 893472, 893577, 893256, 893245, 1161273, 1161325, 1161290, 893539, 893500]","{'mean_sen_len': 0.10920160395373978, 'or': 0.0879506180196005, 'as': 0.04582079790484159, 'such': 0.042098329436792925, 'from': 0.03247285590347491, 'which': 0.030718083720070608, 'said': 0.02745456919115527, 'when': 0.02704857736157327, 'with': 0.025631833923452106, 'through': 0.023882097175336243}"
0.9411764705882353,0.9410069197918766,0.9459644322845419,0.9411764705882353,0.94426,1,0.993103448275862,0.9377289377289377,0.9922480620155039,0.8888888888888888,[1189028],"[893345, 893577, 893437, 893596, 1161290, 893099, 893329, 893354, 893393, 893542, 893661, 893125, 893372, 893613, 893531, 893473]","{'mean_sen_len': 0.10544947757015474, 'or': 0.06317946231520966, 'such': 0.03896779442156648, 'which': 0.03743359807963373, 'from': 0.035576242984651556, 'said': 0.03329079606571451, 'as': 0.03288437932899111, 'when': 0.03179554062437976, 'on': 0.026888596326509057, 'for': 0.023856607074333985}"
0.9065743944636678,0.9058413792714579,0.9190776656683435,0.9065743944636678,0.91429,1,0.993103448275862,0.8973384030418251,0.9915966386554622,0.8194444444444444,[1247283],"[893174, 1161325, 893140, 1218163, 1161306, 893473, 893470, 893125, 893245, 893504, 1161290, 893577, 893345, 893507, 893237, 893100, 893600, 1161329, 893614, 1161256, 893490, 893366, 893264, 893327, 893539, 893661]","{'mean_sen_len': 0.10485295311556717, 'or': 0.06588086147320404, 'by': 0.03935386710794838, 'said': 0.038823314569455945, 'which': 0.035322275147967166, 'as': 0.035044132522418225, 'such': 0.03478182597652443, 'when': 0.029972926943017637, 'through': 0.027759418768765764, 'this': 0.025816567294292082}"
0.9377162629757786,0.9374601177369344,0.9445942216655698,0.9377162629757786,0.94156,1,1.0,0.9333333333333333,1.0,0.875,[],"[1161325, 893474, 893542, 893539, 1218163, 893099, 893350, 1218122, 893439, 893577, 893226, 893500, 893283, 893590, 893576, 893531, 893372, 893124]","{'mean_sen_len': 0.10200039805724065, 'or': 0.05741393881896196, 'said': 0.04817676465210909, 'which': 0.04001969792349694, 'by': 0.032222958994252815, 'such': 0.03216731934290547, 'on': 0.029425854183042523, 'as': 0.02931550184932419, 'from': 0.02749729028362162, 'through': 0.0250184448197343}"
0.9446366782006921,0.9445636570328512,0.9467641144650673,0.9446366782006921,0.94667,1,0.9793103448275862,0.9424460431654677,0.9776119402985075,0.9097222222222222,"[1188746, 1246118, 1246154]","[893596, 893350, 893590, 893531, 893177, 893600, 893472, 893362, 893613, 893506, 893637, 893240, 893516]","{'mean_sen_len': 0.10656820410562723, 'or': 0.07519675224565517, 'such': 0.04216946230586032, 'as': 0.03441189004931251, 'which': 0.033898912158592164, 'said': 0.0325905811685221, 'because': 0.030957817884149023, 'by': 0.028626375936597108, 'through': 0.02712811439929475, 'from': 0.02525893404883581}"
