,Key,Count,Mean Score
0,TTR,100,0.13566391798391628
1,a,100,0.0557690137778394
2,RB,100,0.04527532990759318
3,DT,100,0.047488523958953976
4,the,100,0.03785170676436312
8,because,99,0.03513492500790196
5,any,98,0.035927799521735936
9,which,75,0.0270425802036389
6,these,68,0.027693796303919098
13,where,40,0.027792243081512492
11,VBG,23,0.025702153602105385
14,until,19,0.025629365645028233
10,while,18,0.026551470304002078
17,or,18,0.026370109113228683
16,i,13,0.02603068330180876
7,mean_sen_len,8,0.027150083600643457
15,each,7,0.023187298114119407
19,might,7,0.027252849336820626
12,those,5,0.02445287843615111
18,such,1,0.019806630319141875
20,about,1,0.022226102013205122
