,Key,Count,Mean Score
0,TTR,100,0.16140465808619686
1,a,100,0.03605434575881091
2,the,100,0.03234063077851129
3,DT,100,0.0316215243868312
4,RB,100,0.03712640028807943
5,IN,95,0.022061579410422062
10,because,94,0.024554330021167213
7,mean_sen_len,68,0.021050983503746224
12,while,62,0.02035564355696646
11,until,56,0.02016795939762241
6,or,44,0.020072782201000026
8,where,31,0.01987184332453647
13,any,16,0.01933080784019795
17,about,8,0.01789572059149275
16,NN,7,0.01702301794696973
9,i,6,0.01848773029815204
15,when,3,0.019145559387558225
18,who,3,0.018605863441547296
19,during,3,0.015788530533888456
14,might,2,0.017982148047130633
20,which,1,0.017709952925482345
21,VBG,1,0.015053971882502197
