accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9794871794871794,0.9794850214355225,0.979689021021337,0.9794871794871794,0.97927,1,0.9692307692307692,0.9796954314720813,0.9698492462311558,0.9897435897435898,"[1252128, 1094460, 838071, 1195323, 1253923, 1195761]","[953604, 1225745]","{'TTR': 0.06726245079234912, 'this': 0.05134208484823305, 'on': 0.04940686371302271, 'but': 0.04847309350893653, 'with': 0.04442134231935853, 'for': 0.03730527457449028, 'out': 0.028883685183741386, 'do': 0.027404223534353917, 'as': 0.026393932430344505, 'all': 0.026309991022942233}"
0.9794871794871794,0.9794850214355225,0.979689021021337,0.9794871794871794,0.97927,1,0.9692307692307692,0.9796954314720813,0.9698492462311558,0.9897435897435898,"[1098202, 1096355, 1094632, 1252628, 1196591, 1195285]","[953636, 1168802]","{'TTR': 0.0792470364748733, 'but': 0.048187294005749864, 'on': 0.04246467367149646, 'what': 0.03643815051739864, 'this': 0.035762882072698295, 'with': 0.03575597683071222, 'be': 0.03210677006903252, 'as': 0.029386115229675994, 'have': 0.02910564230187945, 'for': 0.028042304442273038}"
0.9743589743589743,0.974352904040404,0.9748084971965568,0.9743589743589743,0.97396,1,0.958974358974359,0.9747474747474747,0.9601990049751243,0.9897435897435898,"[1195019, 838162, 1251289, 1098125, 1195036, 1096134, 1211367, 838431]","[1168859, 1168802]","{'TTR': 0.08056890486717665, 'with': 0.051613204400434425, 'on': 0.0459348530281939, 'but': 0.045705783721824406, 'this': 0.03635881272087393, 'all': 0.027149306735701456, 'have': 0.026153990070838264, 'from': 0.023647854882912465, 'be': 0.023120259931034406, 'it': 0.023036112456447565}"
0.9846153846153847,0.9846149800126236,0.9846663685857815,0.9846153846153847,0.98454,1,0.9794871794871794,0.9846938775510204,0.9796954314720813,0.9897435897435898,"[1096158, 1253420, 1195711, 1195453]","[1168859, 954255]","{'TTR': 0.07261229116613774, 'this': 0.052050371034469245, 'on': 0.0501042901216907, 'with': 0.04659278023180846, 'for': 0.03914599867378247, 'but': 0.03444203895359154, 'JJR': 0.03281930569624827, 'what': 0.0297199408433999, 'be': 0.02855780035139917, 'that': 0.025803032755951798}"
0.982051282051282,0.9820502199341185,0.982165404040404,0.982051282051282,0.98191,1,0.9743589743589743,0.9821882951653944,0.9747474747474747,0.9897435897435898,"[1250991, 1194640, 1097435, 838057, 1094423]","[1168802, 953636]","{'TTR': 0.07776680217130441, 'with': 0.06653426185105284, 'on': 0.04884029928798138, 'from': 0.04014418711229898, 'this': 0.03892485207039214, 'what': 0.03534969954433357, 'for': 0.03499519804718506, 'but': 0.0330904607228228, 'have': 0.028484039399788882, 'as': 0.027333631961342433}"
0.9794871794871794,0.9794823232323232,0.9799415620311143,0.9794871794871794,0.97917,1,0.9641025641025641,0.9797979797979798,0.9651741293532339,0.9948717948717949,"[1095359, 1252842, 1252738, 1098969, 1095338, 1095383, 1094941]",[1168859],"{'TTR': 0.07759005739480945, 'for': 0.04674237939939223, 'with': 0.04673245098369356, 'this': 0.0452611861788857, 'on': 0.043558440477916356, 'but': 0.03518670524611277, 'out': 0.032927049432115794, 'JJR': 0.030112992660256466, 'that': 0.02750477408017711, 'not': 0.02655511629362844}"
0.9871794871794872,0.9871794028889078,0.9871922996002525,0.9871794871794872,0.98715,1,0.9846153846153847,0.9872122762148338,0.9846938775510204,0.9897435897435898,"[1097371, 1252675, 1099443]","[1168859, 954336]","{'TTR': 0.07414991956533536, 'on': 0.05921962359255042, 'this': 0.04382802991834893, 'for': 0.040743178476589044, 'with': 0.034371989101156616, 'as': 0.03433373943576367, 'from': 0.03297079035841932, 'but': 0.03127920902256473, 'it': 0.027104418259795114, 'what': 0.026399929041901755}"
0.9871794871794872,0.9871787285243704,0.9872948232323232,0.9871794871794872,0.98708,1,0.9794871794871794,0.9872773536895675,0.9797979797979798,0.9948717948717949,"[1097860, 1194626, 1094941, 1096263]",[1168802],"{'TTR': 0.08757945240753108, 'on': 0.05332527499707316, 'this': 0.04812257323750655, 'for': 0.04224966577942577, 'with': 0.04101983838492966, 'what': 0.034534803579569305, 'but': 0.03195233360000308, 'out': 0.027180415734556717, 'not': 0.026515335650105522, 'that': 0.024974269107540872}"
0.9743589743589743,0.974352904040404,0.9748084971965568,0.9743589743589743,0.97396,1,0.958974358974359,0.9747474747474747,0.9601990049751243,0.9897435897435898,"[1252919, 1094962, 1094632, 1251889, 1251819, 838431, 1195209, 1251365]","[1225745, 953604]","{'TTR': 0.0909052782484992, 'on': 0.060243813063013366, 'with': 0.04601013797232298, 'this': 0.04595038867085078, 'it': 0.041717512538865964, 'but': 0.03533129180627155, 'have': 0.03510337805327116, 'what': 0.03489961108759139, 'JJR': 0.03327074134504484, 'for': 0.028778515584888607}"
0.982051282051282,0.98204833141542,0.9823684210526317,0.982051282051282,0.98182,1,0.9692307692307692,0.9822784810126582,0.97,0.9948717948717949,"[1252628, 1154539, 1097435, 1195029, 1098088, 1196962]",[954255],"{'TTR': 0.08086734111919558, 'this': 0.06534234680298005, 'on': 0.06197278413522521, 'with': 0.047278796615268306, 'for': 0.03575813430489612, 'so': 0.032506004537273335, 'but': 0.027867559769095968, 'not': 0.025871840298902608, 'have': 0.025021168770058916, 'that': 0.02470981513795466}"
