accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.87,0.8699479791916767,0.8705929487179486,0.87,0.86735,1,0.85,0.8725490196078431,0.8557692307692307,0.89,"[1194182, 1253255, 1253406, 1095952, 1196148, 1098516, 1251780, 1094744, 1094291, 1099262, 1094103, 1194682, 1096449, 1194989, 1252597, 1094460, 1099254, 1097643, 1196137, 1196919, 1094819, 1195065, 1096889, 1252422, 1251810, 1097341, 1094826, 1253304, 1095718, 1096046]","[955411, 1225892, 955243, 1225874, 955666, 955277, 955635, 955502, 955599, 1169029, 955189, 955773, 1169034, 955343, 1225879, 955703, 955723, 1169015, 955824, 955801, 955808, 955365]","{'i': 0.045876534485009494, 'but': 0.03363162145470288, 'sentiment': 0.0321235731216841, 'an': 0.029525097250773485, 'male_pronouns': 0.028675245792378123, 'this': 0.02517569429651831, 'TTR': 0.021625838982698826, 'here': 0.021424943650753658, 'VBD': 0.020002209316629566, 'was': 0.019138886888602005}"
0.855,0.854967367657723,0.8553197878090282,0.855,0.85279,1,0.84,0.8571428571428571,0.8446601941747572,0.87,"[1195146, 1098578, 1196287, 1194896, 1195970, 1195119, 1194966, 1097286, 1253031, 1194172, 1251193, 1253562, 1097803, 1194074, 1253651, 1096356, 838369, 1097914, 1095542, 1096601, 1253621, 1098082, 1195974, 1194772, 1099459, 1094858, 1094881, 1252420, 1195562, 1098376, 838431, 1096803]","[951491, 950210, 955581, 955474, 955269, 955261, 955671, 955702, 1169060, 955707, 955749, 1225922, 955923, 955804, 955844, 955667, 955635, 955717, 1225898, 951777, 955878, 1168983, 955352, 955392, 955239, 955760]","{'i': 0.03346201817988665, 'sentiment': 0.02936630120811601, 'male_pronouns': 0.02583146485273287, 'but': 0.024491003577768695, 'VBD': 0.0221872977287506, 'at': 0.021908690579048592, 'an': 0.02148037275798184, 'TTR': 0.021350463158037614, 'not': 0.020222158523529196, 'this': 0.018723766335336046}"
0.86,0.8599964999124978,0.86003600360036,0.86,0.8607,1,0.865,0.8592964824120602,0.8636363636363636,0.855,"[1251673, 1194222, 1098232, 1095391, 1094602, 1252330, 837735, 1099289, 1094330, 1196384, 1196293, 1251434, 1195160, 1095679, 1252842, 1195956, 838410, 1197004, 1097034, 1099060, 1098999, 1098654, 1253861, 1094580, 1098309, 837847, 1098053]","[955825, 955780, 1225879, 955882, 955353, 955890, 949865, 1168973, 955759, 955220, 955561, 951800, 955473, 955491, 955904, 955336, 949900, 950379, 955761, 1169063, 951816, 1225876, 955425, 950407, 1225941, 955601, 951777, 955404, 955800]","{'i': 0.047790954126425554, 'VBD': 0.0314102445914472, 'sentiment': 0.02875062272386347, 'but': 0.027230572707124086, 'my': 0.026758440677314324, 'me': 0.02490142916245844, 'this': 0.022346075972698803, 'at': 0.02017816904644406, 'male_pronouns': 0.01962936224340004, 'not': 0.01859920705490691}"
0.88,0.8799969999249981,0.88003800380038,0.88,0.8794,1,0.875,0.8805970149253731,0.8762376237623762,0.885,"[1097558, 1094044, 1195646, 1098715, 1194989, 1194216, 1094095, 1251396, 1194085, 1252260, 1195775, 1099312, 1252230, 1095090, 1094421, 1097914, 1098120, 1196515, 1099047, 1253848, 1095486, 1252723, 1196461, 1194215, 1253527]","[955416, 1169058, 950502, 955867, 955576, 955751, 955182, 955545, 955237, 955384, 955699, 955717, 955233, 955547, 955671, 1225892, 955850, 955223, 1169047, 1225941, 955280, 955883, 1168312]","{'i': 0.048749898790378256, 'this': 0.03064337337069878, 'VBD': 0.02642731818719762, 'but': 0.025554546070282545, 'male_pronouns': 0.02458436651132775, 'sentiment': 0.024522195206916456, 'from': 0.02343881532439223, 'me': 0.0213897047463556, 'my': 0.0210304057526024, 'VBP': 0.018255971303290968}"
0.8725,0.8723651857274245,0.8740804900705481,0.8725,0.86822,1,0.84,0.8765133171912833,0.8497652582159625,0.905,"[1194553, 1194216, 1095652, 1095140, 1252323, 1097240, 1094640, 1097656, 1099016, 1252285, 1097333, 1253809, 1253796, 1098036, 1097683, 1096511, 1095002, 1253610, 1097747, 1097243, 838381, 838372, 1195022, 1252083, 1194186, 1195907, 1196478, 1095492, 1154497, 1253899, 1194724, 1097953]","[955910, 1168984, 955805, 955840, 955465, 955790, 1225407, 955250, 955349, 955216, 955257, 955432, 955182, 955312, 1169051, 955234, 1169053, 955446, 955928]","{'but': 0.040070050832899023, 'i': 0.03437474187186311, 'sentiment': 0.030020542558970686, 'VBD': 0.027144230319744157, 'this': 0.025749888846387976, 'male_pronouns': 0.02344565436210117, 'VBZ': 0.021460811219779722, 'me': 0.02096743296652962, 'to': 0.01923731306168496, 'NNS': 0.018590304650555885}"
0.8425,0.8422782037239869,0.8444374607165305,0.8425,0.83636,1,0.805,0.8481927710843373,0.8186046511627907,0.88,"[1252392, 1097409, 1097369, 1094154, 1253481, 1094735, 1098597, 1253593, 1196750, 1094155, 1097098, 1097379, 1194822, 1253087, 1094613, 838045, 1094592, 1194291, 1251608, 1253175, 1253103, 1097940, 1195491, 1094550, 1099438, 1097698, 1094962, 1253569, 838192, 1250975, 1250943, 1095729, 1195850, 1194079, 1197053, 1098823, 1253627, 1097922, 1096212]","[1225852, 950164, 1169050, 955465, 955247, 955224, 955243, 1225911, 1225234, 1169008, 955393, 955928, 955692, 955464, 955353, 955521, 949865, 955373, 955605, 955535, 1169047, 955419, 955406, 955741]","{'i': 0.03926645696291555, 'an': 0.038219259535520876, 'VBD': 0.03461109771637093, 'sentiment': 0.03356936640689027, 'my': 0.02468447353488961, 'me': 0.023272423078394375, 'male_pronouns': 0.021250846685188788, 'but': 0.019643285800831866, 'to': 0.019096908311563937, 'this': 0.01892513920505994}"
0.87,0.87,0.87,0.87,0.87,1,0.87,0.87,0.87,0.87,"[838452, 1196461, 1095997, 1093893, 1094613, 1095052, 1097898, 1194874, 1097074, 1098351, 1253402, 1098317, 1195428, 1251512, 1253640, 1096773, 1154507, 1098830, 1097934, 1195119, 1098086, 1251396, 1196610, 1251366, 1094156, 1195169]","[1225861, 955365, 955272, 951660, 955656, 1169009, 1225851, 955167, 955373, 955453, 955336, 955356, 955608, 1168393, 1168976, 951800, 955843, 955577, 955252, 955231, 951491, 955169, 1169019, 1168991, 1225882, 1169050]","{'i': 0.039627767192818276, 'sentiment': 0.03230666904844147, 'this': 0.02818835017230397, 'VBD': 0.02671219689467511, 'but': 0.02334760201688234, 'me': 0.02136028763777699, 'to': 0.020459008916150358, 'an': 0.020014759659771123, 'male_pronouns': 0.019877237825256147, 'up': 0.018057383589840017}"
0.855,0.8549419767907162,0.8555689102564102,0.855,0.85204,1,0.835,0.8578431372549019,0.8413461538461539,0.875,"[1252994, 1096405, 1099460, 1251164, 1253593, 1252685, 1095423, 1098877, 1252681, 1194140, 1096851, 1250943, 1194834, 1098237, 1095004, 1251582, 1098930, 1095733, 1095222, 1097915, 1195463, 1098881, 1194182, 1096697, 1253720, 1195042, 1211284, 1252861, 1196489, 1251899, 1094948, 1197053, 1196340]","[955649, 955800, 955752, 955823, 955451, 955901, 955521, 955605, 955707, 955473, 955307, 955936, 955332, 951303, 955318, 955592, 955511, 955671, 955883, 955436, 955482, 955930, 955411, 955717, 955732]","{'i': 0.03414459106320731, 'sentiment': 0.03263441921607788, 'but': 0.026792372087529163, 'this': 0.02661087033465255, 'VBZ': 0.023314348669498424, 'VBD': 0.02309792916573772, 'TTR': 0.021327887664740044, 'male_pronouns': 0.021146889847137987, 'an': 0.01778898040415283, 'JJS': 0.017509102196482985}"
0.8975,0.8974839818721675,0.8977485928705441,0.8975,0.89877,1,0.91,0.8962025316455696,0.9076923076923077,0.885,"[1253674, 1094946, 1094759, 1094388, 1195453, 1251495, 1194528, 1251650, 1096018, 1095017, 1095481, 1097283, 1195522, 1252036, 1094191, 1251617, 1196658, 1095511]","[955788, 955336, 1225946, 955828, 1225415, 955440, 955645, 955452, 951660, 955192, 955577, 1225892, 955153, 949805, 1169020, 955150, 1169055, 955663, 955727, 955736, 1169063, 955566, 1225917]","{'i': 0.03686683242739629, 'sentiment': 0.029167248182912598, 'this': 0.026086277806463172, 'male_pronouns': 0.023146483104978972, 'but': 0.022811495205849658, 'me': 0.02276238385193176, 'an': 0.022755598047224438, 'VBD': 0.021221467181287316, 'to': 0.020327005489774185, 'was': 0.01987216856487994}"
0.8875,0.8874936715190229,0.8875872071216024,0.8875,0.88665,1,0.88,0.8883374689826302,0.8817733990147784,0.895,"[1196800, 1196687, 838372, 1099438, 1098523, 1196391, 1251819, 1099312, 1099400, 1252379, 1094071, 1251738, 1196449, 1251231, 1096799, 1097081, 1094154, 1098345, 1251038, 1251853, 1096995, 1195411, 1252634, 1194151]","[949941, 955375, 955352, 955615, 955404, 955172, 951411, 955353, 955392, 1168393, 955710, 955897, 1169039, 1168298, 955901, 955469, 955586, 955833, 955336, 955499, 955388]","{'but': 0.03809664529180557, 'i': 0.03429966506812013, 'sentiment': 0.03032336841995334, 'on': 0.027259213143116034, 'VBD': 0.025405599569381074, 'at': 0.02104930694596522, 'VBZ': 0.02056023912778024, 'was': 0.02039181290557015, 'to': 0.018969637334420385, 'this': 0.0181646303969098}"
