,Key,Count,Mean Score
0,TTR,100,0.09590575254813472
1,the,100,0.029722668175948014
2,DT,100,0.03441995421092443
3,lex_density,100,0.023984410116425672
4,a,100,0.026764172177183097
9,to,97,0.019690341437410514
6,NNS,95,0.01817526818110638
5,RB,85,0.0177753699508377
8,VB,58,0.01607815263102905
10,was,50,0.01617086546943343
7,JJ,44,0.015970465725237054
11,in,15,0.01509199395225681
12,VBN,10,0.01520085012166253
19,as,10,0.016212592112976234
14,has,9,0.015364052339381255
20,VBG,6,0.015085687235557282
13,mean_sen_len,3,0.014010666642951876
16,have,3,0.01576305752443499
23,been,3,0.015369300311962453
22,VBD,3,0.015002965889541905
21,of,2,0.013820165162816946
15,IN,2,0.014852438928454203
18,PRP,2,0.013751654375337194
17,sentiment,1,0.013289204641780539
24,NN,1,0.013038676368727952
25,PRP$,1,0.014535249869944597
