,Key,Count,Mean Score
0,TTR,100,0.2505361792980748
1,mean_sen_len,100,0.06669206879746242
2,the,100,0.07794873718898075
3,to,100,0.06505562073097254
4,DT,100,0.04359229450938558
5,and,100,0.03648562998947198
6,of,100,0.02682541533443919
9,RB,70,0.017543696259918848
7,a,66,0.017212448340821224
10,or,49,0.017207607812656272
12,VBG,48,0.017025861333848705
13,said,27,0.01710060434759963
11,in,17,0.01647419921161247
8,lex_density,11,0.015860745444866448
15,have,9,0.016337538466093645
14,be,1,0.015149912047950298
16,VBZ,1,0.014653355588185476
17,an,1,0.014494462294884311
