,Key,Count,Mean Score
0,TTR,100,0.2296818987361101
1,the,100,0.0521268669978015
2,DT,100,0.031911538727013716
3,and,100,0.03404818234397585
4,mean_sen_len,100,0.03733919169511078
6,IN,100,0.019892528669419946
7,a,100,0.021748393332287525
5,in,99,0.02039399820896887
9,RB,60,0.015737736722669943
8,an,53,0.015810231873529385
11,VBG,52,0.01570089350805382
10,of,18,0.014594543860650035
12,was,9,0.014781935279429372
14,or,4,0.014446200498722694
15,said,2,0.013883637484326777
13,JJS,1,0.015666473691856524
16,from,1,0.014198873619988764
17,this,1,0.012707942197015435
