,Key,Count,Mean Score
0,TTR,100,0.07788723019190567
1,has,100,0.048215386380749875
2,mean_sen_len,100,0.03637369158543842
4,be,87,0.032095317447365386
11,we,81,0.029072124278812814
3,but,79,0.029798179040492624
6,said,78,0.028568805861482527
7,a,59,0.02637923143215207
5,with,58,0.02861438998124393
13,and,48,0.026492349595037084
15,this,45,0.027213359356623498
12,PRP$,28,0.027527856979438704
16,that,27,0.026211129560808785
8,for,23,0.026667951424517836
9,it,20,0.02737961566705354
14,not,16,0.02716746062476055
18,RB,12,0.02558409019870243
17,is,11,0.02748100945628181
20,on,9,0.026953830014204577
10,was,6,0.02730223181160744
19,from,4,0.025004487335617793
21,an,4,0.025234723065860516
23,as,4,0.024027148675727295
22,JJR,1,0.024888109138568253
