accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9393939393939394,0.9393382352941178,0.9410138248847926,0.9393939393939394,0.9375,1,0.9090909090909091,0.9411764705882353,0.9142857142857143,0.9696969696969697,"[837103, 837500, 1093398, 836932, 1093441, 1249512, 1193316, 1091977, 1193375, 837442, 1093491, 837596, 1193968, 1192885, 1092902, 1249830, 1091990, 1093802]","[910446, 910899, 910384, 910877, 910922, 910754]","{'have': 0.048530376992371387, 'PRP$': 0.04623349350456398, 'said': 0.04596602386271201, 'for': 0.036227164586934674, 'VBP': 0.03462176353383413, 'it': 0.03427088960431116, 'that': 0.03326899459815093, 'we': 0.03204850650965364, 'with': 0.03202016626823987, 'RB': 0.026568636215800787}"
0.9191919191919192,0.9189852700490997,0.9235130398927945,0.9191919191919192,0.91489,1,0.8686868686868687,0.9230769230769231,0.8807339449541285,0.9696969696969697,"[1093844, 1092728, 1250697, 1091710, 1192907, 1250742, 837055, 1248022, 1192594, 837294, 1249886, 1249283, 1090977, 1090443, 1090458, 1092170, 1193040, 837382, 1249480, 1092937, 1090397, 1248055, 1091153, 1090280, 1090000, 1249840]","[910362, 910667, 910901, 910634, 910527, 910672]","{'have': 0.05626098280358088, 'PRP$': 0.05343159727926893, 'for': 0.039894785240646304, 'said': 0.03831658166151485, 'on': 0.03752163604794308, 'with': 0.03598554198519992, 'it': 0.03211101963765828, 'VBP': 0.027177536701223845, 'that': 0.027037372228907498, 'and': 0.024193944951150376}"
0.9545454545454546,0.9544513457556937,0.9583333333333334,0.9545454545454546,0.95238,1,0.9090909090909091,0.9565217391304348,0.9166666666666666,1.0,"[1092688, 1092339, 1193770, 1191184, 1090884, 1250631, 1092481, 1090041, 1090180, 1091448, 1193539, 1250268, 1091338, 1093317, 1248969, 1211186, 1250035, 1193960]",[],"{'have': 0.05415307146853464, 'said': 0.05212030353331417, 'we': 0.03724892893193969, 'with': 0.03575676826370054, 'for': 0.03534094343198947, 'be': 0.03160474037496676, 'PRP$': 0.03065280073753547, 'VBP': 0.02944228444908933, 'and': 0.025575108107619912, 'VBG': 0.024819950990549317}"
0.952020202020202,0.9519954062589722,0.9529560616517139,0.952020202020202,0.9509,1,0.9292929292929293,0.9530864197530864,0.9323671497584541,0.9747474747474747,"[1093100, 1250715, 1250412, 1192874, 1248228, 1192993, 1092233, 1093485, 1090824, 1193825, 1191435, 837203, 1249990, 1249457]","[910983, 910909, 910899, 910877, 910527]","{'said': 0.05334234950715071, 'PRP$': 0.051367382537032096, 'have': 0.04064738938923705, 'for': 0.04025831931548715, 'with': 0.03249127825510972, 'that': 0.031975708197799685, 'on': 0.02764242641755166, 'it': 0.024546415007236047, 'VBG': 0.024473022336667042, 'from': 0.02349613021019279}"
0.9494949494949495,0.9494743288761865,0.9502299437915177,0.9494949494949495,0.94845,1,0.9292929292929293,0.9504950495049505,0.9320388349514563,0.9696969696969697,"[1192504, 1091429, 1193780, 1248969, 1191164, 1192062, 1091550, 1093262, 1250498, 1092517, 1248907, 1249840, 1191604, 837367]","[910450, 910877, 1220281, 911036, 910362, 910893]","{'have': 0.050581074268255144, 'said': 0.040429830614912836, 'for': 0.03875596400216385, 'PRP$': 0.03632271451157573, 'with': 0.035009961590172785, 'be': 0.03432950632627618, 'VBP': 0.03132742120910817, 'on': 0.030430581120257313, 'is': 0.02888074829604675, 'we': 0.0241625224059468}"
0.9267676767676768,0.9265611510791367,0.9316229394009751,0.9267676767676768,0.92267,1,0.8737373737373737,0.9304556354916067,0.8858447488584474,0.9797979797979798,"[1093509, 1092911, 1250722, 1192567, 1091603, 1192696, 1092004, 1092874, 837666, 1249152, 1192830, 1248159, 1249632, 1091502, 1192639, 1248228, 1192037, 1093299, 1249391, 1192656, 1092249, 1249622, 1248225, 1093648, 1249385]","[910983, 911036, 910893, 910877]","{'said': 0.051485261191601996, 'have': 0.04936390029180626, 'be': 0.03828954920579244, 'PRP$': 0.03697166221430316, 'with': 0.0357204086903148, 'for': 0.033193301370957655, 'VBP': 0.0322314078171547, 'on': 0.030587945052471918, 'it': 0.02610993725965973, 'is': 0.024898232373922954}"
0.9444444444444444,0.9443023731587561,0.9490258736212763,0.9444444444444444,0.94149,1,0.8939393939393939,0.9471153846153846,0.9036697247706422,0.9949494949494949,"[1190984, 1192395, 1092371, 1191473, 1211236, 1190973, 1092493, 1193489, 1191074, 1250923, 837384, 1093258, 1192993, 1193654, 1091257, 1250631, 1249400, 1190940, 1192240, 1192567, 1091873]",[910754],"{'have': 0.06651055764920204, 'PRP$': 0.04491141520417564, 'said': 0.04430729908395702, 'on': 0.043027696320306744, 'with': 0.03742178171052033, 'VBP': 0.03478687816468295, 'it': 0.02933378925704625, 'and': 0.026698260628511074, 'be': 0.026677466466722678, 'for': 0.023730005425243478}"
0.9242424242424242,0.9241727941176471,0.9258064516129032,0.9242424242424242,0.92188,1,0.8939393939393939,0.9264705882352942,0.9,0.9545454545454546,"[1248253, 1249888, 1248368, 1250748, 1192696, 837671, 1193957, 1091431, 1093040, 1093240, 1249609, 1090944, 1250315, 1090047, 1249457, 1092931, 1090799, 1250843, 1091914, 1192617, 1092339]","[910446, 910672, 1220281, 910739, 910757, 910703, 910983, 910580, 910922]","{'said': 0.05039558784225195, 'have': 0.04318335875059672, 'be': 0.04195853803596029, 'we': 0.03777451713729778, 'is': 0.0335837264979075, 'for': 0.0314804887752057, 'PRP$': 0.02986699767740692, 'with': 0.027421437125736792, 'that': 0.02723680812344318, 'it': 0.022743727977986832}"
0.9444444444444444,0.9443294225902921,0.9481481481481482,0.9444444444444444,0.9418,1,0.898989898989899,0.9468599033816425,0.9074074074074074,0.98989898989899,"[1192369, 1193866, 837199, 1248939, 1090695, 1093065, 1247944, 1092908, 1250584, 1192037, 1091512, 837228, 1090822, 1092478, 1190909, 1249522, 1248308, 1191780, 1090040, 1250092]","[910631, 910667]","{'said': 0.054683570537821254, 'from': 0.040090522116752805, 'have': 0.03345616759341047, 'VBP': 0.03134925138381952, 'PRP$': 0.030726492784026928, 'on': 0.030117229112561966, 'for': 0.028564537713462124, 'with': 0.02751912734629995, 'that': 0.024734273040798133, 'and': 0.023724004071547303}"
0.9419191919191919,0.9419099310547161,0.9422011792031446,0.9419191919191919,0.94118,1,0.9292929292929293,0.942643391521197,0.9310344827586207,0.9545454545454546,"[1090144, 1092332, 1193091, 1192678, 1193086, 1091731, 1193756, 1092060, 1093205, 1249420, 1092371, 1090180, 1091546, 837091]","[910672, 910446, 910634, 910922, 910750, 1220232, 910667, 910394, 910757]","{'said': 0.06546272358307878, 'have': 0.06092530687204858, 'PRP$': 0.04520124693335892, 'for': 0.03229983188696555, 'be': 0.029579126925736228, 'with': 0.029269443897654096, 'on': 0.027182883366992625, 'VBP': 0.02688204260857468, 'that': 0.024523629826522116, 'it': 0.0230262296654074}"
0.9621212121212122,0.9621016365202412,0.9630779848171153,0.9621212121212122,0.96124,1,0.9393939393939394,0.9629629629629629,0.9420289855072463,0.9848484848484849,"[1249888, 1090824, 836946, 1250465, 1092076, 1090147, 1250301, 1090791, 1250437, 1193118, 1091977, 1154471]","[1220302, 910983, 910757]","{'have': 0.054567113654261847, 'PRP$': 0.04848949951108511, 'on': 0.04518462406340704, 'for': 0.04142875249209941, 'said': 0.03640407551894878, 'with': 0.03334457053073353, 'be': 0.030778253202088646, 'it': 0.02911168216795745, 'VBP': 0.027380047653066456, 'is': 0.02678218877898023}"
0.9545454545454546,0.9545036764705882,0.9562211981566819,0.9545454545454546,0.95312,1,0.9242424242424242,0.9558823529411765,0.9285714285714286,0.9848484848484849,"[1250843, 1191583, 837320, 1089997, 1093105, 1249066, 1249283, 1093687, 1091758, 1249337, 837680, 1250770, 1248446, 1092400, 1090818]","[910446, 910450, 910893]","{'have': 0.061747942608213736, 'said': 0.047386064148732795, 'for': 0.041767893166535265, 'with': 0.03960570721668614, 'VBP': 0.038656853497934796, 'PRP$': 0.02959011280650733, 'that': 0.02561281426721886, 'but': 0.02468140086458397, 'on': 0.022245534750464008, 'mean_sen_len': 0.021858726662556217}"
0.9318181818181818,0.9316922958978323,0.935025054606193,0.9318181818181818,0.92876,1,0.8888888888888888,0.9346246973365617,0.8976744186046511,0.9747474747474747,"[1090313, 1249471, 1191337, 1092004, 1250277, 1248454, 1191400, 1090570, 1093240, 1092816, 1092777, 1248139, 1249781, 1248026, 837203, 1092028, 1191514, 1192229, 1093781, 1248299, 1093208, 837576]","[910983, 910667, 1220302, 910893, 910922]","{'have': 0.06120244353215987, 'said': 0.05704119260841138, 'PRP$': 0.04215481884870969, 'with': 0.03825868932957525, 'VBP': 0.03196794490401061, 'for': 0.030684879646736753, 'on': 0.030088341732289, 'be': 0.027349721594821345, 'it': 0.02691683336701753, 'VBG': 0.02660941138885949}"
