,Key,Count,Mean Score
0,TTR,100,0.16684695230256216
1,very,100,0.0298100529355052
2,have,100,0.034248414695875334
3,mean_sen_len,100,0.02430862831354168
4,IN,98,0.019738949733357457
5,DT,98,0.01999853585342833
10,a,81,0.017588760868721333
7,sentiment,79,0.017672783006374017
6,i,49,0.016962584734288664
11,been,47,0.017430560328473347
8,the,40,0.01676115040289717
13,VBN,29,0.017090800876773983
9,would,25,0.016562955538655208
15,had,18,0.016326825939058296
17,go,12,0.015757059230679438
14,to,9,0.015279172057022776
12,was,3,0.01535812201228169
21,up,3,0.016493978435590046
23,for,2,0.015003079289028661
20,not,2,0.0153073753707408
16,are,1,0.014821272913142561
19,with,1,0.014825014988333506
18,VBG,1,0.015149102987139507
22,PRP$,1,0.01599665461969659
24,and,1,0.013785727728692902
