,Key,Count,Mean Score
0,TTR,100,0.04066519926759535
1,a,98,0.022614764316562504
5,DT,96,0.02257405383716921
2,i,91,0.022335629807066146
3,sentiment,88,0.02041859509528862
4,mean_sen_len,72,0.019613134389594406
9,IN,68,0.019258813356150123
11,VBG,65,0.02118185006769349
12,this,65,0.021493365012319285
14,NNS,62,0.0199063013154059
6,JJ,24,0.01853160543183106
17,and,24,0.01850748976709132
7,RB,24,0.018692145010665087
18,lex_density,19,0.018656765374217784
15,the,16,0.018834256027144725
20,that,14,0.01924242119962891
26,with,13,0.019359685945400718
25,PRP$,11,0.019657442101322344
24,was,8,0.018531843872599027
19,of,5,0.019134205424867344
16,VB,5,0.018237297583290745
30,VBP,5,0.019458980173632314
22,for,4,0.019097743350581363
8,in,4,0.01933459053474563
23,it,3,0.019286184852615736
31,NN,3,0.018040032745738416
28,on,2,0.01957967388220197
32,do,2,0.0187516754191274
10,or,1,0.021507493274398465
13,VBN,1,0.017896613502920558
21,up,1,0.019395914406057476
27,JJR,1,0.01749931355285095
29,you,1,0.01845701023881984
33,VBD,1,0.018705692863903067
34,VBZ,1,0.018153286418811684
35,my,1,0.017392581753211282
36,they,1,0.01757170495575067
