,Key,Count,Mean Score
0,TTR,100,0.15754970760258152
1,the,100,0.05527831619764885
2,DT,100,0.036983139719426364
3,a,100,0.03888709827911081
4,and,100,0.052333268957755016
5,mean_sen_len,100,0.031775879680237006
6,i,89,0.020502323635159903
8,IN,89,0.01962126415843169
7,more,87,0.020577984639708207
9,or,78,0.020763233536727085
10,to,43,0.01867669369974648
14,was,6,0.016840481487821097
11,VBG,3,0.016328375764420876
12,RB,3,0.015900424900303727
13,PRP$,1,0.01610989308555657
15,NNS,1,0.018447557136055562
