,Key,Count,Mean Score
0,TTR,100,0.1393541362931191
1,and,100,0.05291177353772448
2,the,100,0.04887805143673298
3,a,100,0.04020149628052994
4,DT,100,0.03122362583869352
5,IN,100,0.024189204243855372
6,mean_sen_len,100,0.025817326035986382
7,i,98,0.02078587919468215
8,or,94,0.019042300707099502
9,to,20,0.015543852322399434
11,was,17,0.015192722479301831
14,on,10,0.016130069310347283
10,for,9,0.01543844785843189
12,RB,9,0.01517517246329426
15,NN,5,0.014711555136476345
17,that,5,0.015190560841880946
20,this,5,0.015992576007229482
13,there,4,0.014590454055848497
25,is,4,0.015401838635517933
18,with,4,0.015504513492091868
24,in,3,0.013963473009021114
26,PRP$,3,0.016013362536801298
23,PRP,2,0.014819159376397169
19,you,2,0.014157339794273329
21,NNS,2,0.01603044664381023
22,an,2,0.013371257646938863
16,it,1,0.01519199407916297
27,they,1,0.015414033933277805
