,Key,Count,Mean Score
0,TTR,100,0.08529688874845524
1,NNS,100,0.04659780274856005
6,and,82,0.025721094371678497
2,RB,77,0.024998427093810317
11,this,66,0.024893981426296785
13,VBG,61,0.025801756646269384
12,not,60,0.025417752771273245
8,of,37,0.02275736968328658
4,VBN,35,0.02268373010451065
7,the,35,0.022006894887239153
24,VBP,33,0.022853059544328345
9,sentiment,26,0.021466453401770256
14,to,26,0.021348074951227848
3,it,23,0.023197030488099585
25,VBZ,23,0.022859504760213898
20,for,23,0.022034596008773354
15,a,23,0.022479940011488415
18,i,20,0.02254494748443047
22,PRP,18,0.02290140646465811
16,mean_sen_len,17,0.02128098352649375
21,in,14,0.021516212971020403
17,that,13,0.020657936496413787
26,PRP$,13,0.022531036178827513
27,but,12,0.021187492736094632
23,JJ,9,0.02203391937847747
29,was,8,0.021774184556068787
30,with,8,0.021274372653960764
5,IN,7,0.02038647778260604
19,they,7,0.021826592816685853
10,is,6,0.024647149634476877
28,VB,6,0.020891459597221215
31,have,3,0.021500121417684998
36,on,2,0.02298267946006695
35,were,2,0.019354031912866818
37,be,2,0.021252490991909238
32,NN,1,0.019019143832355978
33,had,1,0.022077733017801967
34,JJR,1,0.01949173052105454
