,Key,Count,Mean Score
0,TTR,300,0.19486247891442926
2,through,300,0.030905768808068126
5,NNS,299,0.024652148356724354
1,mean_sen_len,290,0.020531258136098816
3,or,284,0.022110841165943612
10,i,259,0.019261589511221817
4,yourself,243,0.018506039887659517
9,not,223,0.01902065835393048
6,our,131,0.01761278163049458
14,which,131,0.01770494796079503
12,any,104,0.01729149445788288
7,see,78,0.016976079980351565
13,the,75,0.016356154790283337
15,been,69,0.016905037893563513
16,PRP,63,0.016281793805006658
17,RB,41,0.016206196547800072
11,PRP$,32,0.016827936116630148
18,from,22,0.016019638298746967
8,than,16,0.017253541625868323
20,RBR,11,0.016394078581099605
22,sentiment,9,0.01554899273382034
23,what,7,0.01667689993840812
19,of,4,0.015676432557781127
21,VBG,4,0.016121440508416206
24,DT,2,0.01631483118432259
26,lex_density,2,0.016846421434841455
25,then,1,0.01668945540864193
