,Key,Count,Mean Score
0,do,300,0.05488467049780199
3,PRP$,292,0.03597077876516899
2,just,289,0.03566580372334754
1,or,288,0.04174849300091468
7,than,277,0.02965179948511031
5,RBR,230,0.028188323904885154
9,if,183,0.027198539111902457
4,are,180,0.027825441448971013
6,TTR,166,0.02459693914036698
17,it,159,0.026488321056294263
10,with,142,0.02664674732465901
12,be,134,0.028476607555001428
11,we,76,0.024313912515017296
14,more,67,0.02537420662241097
22,for,45,0.025233071514614108
18,have,26,0.024622521298459123
20,this,23,0.02520993808711939
26,from,23,0.02537757858166935
16,your,19,0.02371447946459256
24,one,18,0.025408744904675977
19,see,15,0.023188362913422522
13,any,14,0.023677126554854246
23,has,10,0.024665863486787138
15,on,7,0.024067448048138602
21,and,4,0.02408628094766691
27,you,3,0.02511202867693622
8,our,2,0.0209996551627036
30,as,2,0.02244967228349827
29,in,2,0.023366347095087663
28,is,1,0.020035076789886586
25,not,1,0.024168445904145193
31,they,1,0.020824100157938553
32,VBN,1,0.026858807711847395
