,Key,Count,Mean Score
0,TTR,300,0.22695120344443756
1,to,300,0.06269223858883151
2,a,300,0.054458950760784955
3,the,300,0.05374451709642121
4,DT,300,0.04815358682036656
6,of,300,0.036114355549619594
8,mean_sen_len,300,0.028126790189289985
5,RB,299,0.02755613404964029
7,and,295,0.024627494455381593
10,lex_density,79,0.017225632577596506
9,VB,53,0.01772474733504215
12,see,53,0.01820427810974757
11,RBR,48,0.01744425865378441
13,that,36,0.01689998691768041
14,VBG,23,0.016676444996190226
16,yourself,11,0.01639186177552959
15,has,2,0.01568942974241468
17,is,1,0.014739459368118523
