,Key,Count,Mean Score
0,TTR,300,0.22108787081358158
1,a,300,0.05434513761116325
2,the,300,0.03567886852997911
3,DT,300,0.03390692222401419
4,mean_sen_len,299,0.02975060625782533
6,RB,299,0.027316212995625252
10,and,255,0.022715406750878735
12,of,251,0.022189315534422497
11,see,208,0.021495142110831374
9,to,175,0.021107005765582065
8,through,121,0.0198016809085471
13,yourself,63,0.01967502565215404
7,RBR,61,0.019640606129909113
5,is,56,0.019845727640616827
14,that,11,0.018076919089235016
15,VBP,1,0.016810098761067045
