,Key,Count,Mean Score
0,TTR,300,0.06999621966257764
1,PRP$,299,0.0409444290596223
5,do,299,0.04522044881487053
3,just,291,0.035202700313902296
2,be,278,0.0353388691720731
10,or,274,0.038238381930318505
4,if,232,0.02876430254696248
12,are,200,0.02923411491114213
6,RBR,192,0.028116268885695215
14,have,144,0.02959288281216996
13,it,134,0.027020906837523805
7,than,104,0.026026847778981708
11,more,90,0.026145680367214534
8,we,24,0.02401120690464587
17,one,21,0.025939538292997392
18,VBN,21,0.024000393675215267
21,from,21,0.026540426234129715
19,with,20,0.02425968458901756
23,your,9,0.023283657074898694
26,that,7,0.02433134609383501
15,any,7,0.025534203110649665
22,of,6,0.02224123266936169
29,this,5,0.02558218837897237
16,for,5,0.022802964344398935
20,and,5,0.023516676626591754
9,on,2,0.020556254112901653
27,you,2,0.026419970472951172
25,see,2,0.025378853324496985
24,our,1,0.02007371602715852
28,but,1,0.023387078474487205
30,as,1,0.022518799813633264
31,which,1,0.02953609647771341
32,has,1,0.02041445569758982
33,they,1,0.023225294009726716
