,Key,Count,Mean Score
0,TTR,300,0.18366480998009646
4,VBN,300,0.04943132938767105
1,have,290,0.042468538519748765
10,is,278,0.03415086337518632
8,VBD,275,0.03799049323390165
6,it,257,0.03231556593367237
2,of,239,0.03348581913008924
3,in,213,0.0315605856476023
9,be,162,0.0313796134929778
11,for,153,0.02868930836763062
5,with,143,0.030132094720005442
7,on,92,0.028059754866583887
15,do,73,0.02876679868354393
12,VBZ,52,0.027441155730637566
14,a,48,0.027833426353683646
16,VBP,35,0.026869657322365542
13,and,32,0.025739163789118384
18,are,20,0.025926626710027923
17,not,19,0.027348857166521887
19,to,12,0.027870132343344334
20,can,3,0.029899141502192694
21,this,2,0.025682512578907336
22,VBG,1,0.02974816717991378
23,the,1,0.02737086858505327
