,Key,Count,Mean Score
0,TTR,300,0.07939031269350222
1,mean_sen_len,300,0.054377206024836096
2,and,300,0.048240612573645605
3,VBG,300,0.04125260015312211
5,sentiment,300,0.04458101444972922
4,to,299,0.03387795794199581
6,with,299,0.030559195126564815
11,as,185,0.02500816934607525
7,JJ,174,0.023944035125360696
9,i,151,0.023560532498819467
8,VB,116,0.02266513119655402
12,or,108,0.023454642270014578
10,for,76,0.02376841727591057
15,IN,19,0.021665432057067474
13,of,17,0.022042237433462526
19,a,9,0.021619144256726473
20,RB,9,0.02174061815303885
21,NN,8,0.021383991360321798
18,lex_density,6,0.020926528896674106
22,PRP,6,0.02105983144339069
17,PRP$,4,0.021714895280868757
16,VBP,3,0.0217289043469843
25,can,3,0.021295551569380927
14,VBZ,2,0.021404474952334763
23,VBN,1,0.020526899743080636
24,DT,1,0.020523245553846638
26,it,1,0.021144238233391857
27,if,1,0.020760099227422453
28,in,1,0.01959639848009929
29,the,1,0.021630319285240368
