,Key,Count,Mean Score
0,i,300,0.05564232440910912
1,it,296,0.04262414418316647
2,for,291,0.03922207973896926
3,VBD,284,0.03944206139568148
5,this,280,0.03909756500756444
12,have,272,0.04666343983706132
9,with,246,0.03812724703973275
6,in,212,0.03501566204284916
4,on,185,0.036765991492703785
7,but,152,0.030568942998143323
11,that,151,0.03177876052993787
13,is,78,0.03234249534209172
8,VBN,55,0.032682750039169026
19,do,42,0.03153513947712583
14,and,30,0.029712397981877175
16,of,30,0.030800024376673032
18,from,28,0.030147884057219014
15,a,22,0.03068191121447452
10,an,19,0.03082900285155035
17,not,15,0.030498679101745307
20,are,9,0.02883172958906388
21,to,2,0.02943681075371026
22,be,1,0.02834128523126518
