,Key,Count,Mean Score
1,VBD,291,0.040960144510784884
4,i,281,0.034879075879461534
3,with,276,0.03824735024758446
10,VBN,266,0.04053776592109557
6,for,266,0.03562883257231432
11,it,237,0.03509394564861437
12,and,220,0.03306931345296642
0,on,214,0.03588065042332759
2,to,204,0.032039074821897315
9,or,130,0.032498617536982036
15,of,105,0.03180315430514333
5,this,94,0.03208865909867048
14,that,92,0.02948901862828216
8,in,69,0.030174101176456653
13,VBG,67,0.030354723311437272
17,the,49,0.02893834820782551
20,as,35,0.028942777197655912
18,from,35,0.02957465903696956
22,a,26,0.02973061135255954
7,mean_sen_len,10,0.027073893900248235
21,TTR,7,0.02578265579026245
28,they,5,0.02733391342682582
25,PRP$,5,0.030291780215323128
24,DT,4,0.027746520645514104
23,RB,4,0.028744082074260345
19,PRP,3,0.028278549853505277
16,when,2,0.027125797962404826
26,but,2,0.025122707823680368
27,is,1,0.027250064203679154
