,Key,Count,Mean Score
0,TTR,300,0.19320009594272916
1,VBP,300,0.04920577040849266
2,have,300,0.04211804317941913
4,do,297,0.03206879580097112
7,is,274,0.027750146304130023
5,of,267,0.02768061547219977
6,not,254,0.027833378583906172
3,VBZ,252,0.02896332137626511
10,you,250,0.02482288135315968
8,what,170,0.023585907496560803
11,that,137,0.02349166605139106
12,could,53,0.023072997405072737
15,be,43,0.02193859337630513
18,with,27,0.022178305339469115
19,about,17,0.021541282313883924
14,it,17,0.023099743828721736
9,VBN,12,0.021646442114391786
17,said,11,0.022435705309342798
20,this,7,0.021448259753835405
21,on,5,0.02015165695819047
13,in,3,0.0199050521976151
16,so,2,0.02026113200629348
22,would,1,0.01805168444408832
23,did,1,0.020922394794734848
