,Key,Count,Mean Score
0,mean_sen_len,300,0.08186216468352103
1,this,300,0.09010795527041493
3,or,300,0.06665318037325063
4,what,300,0.05333611639192462
6,you,298,0.0405855199502842
7,is,286,0.03856318900591306
8,if,284,0.03435408094720097
2,have,258,0.045153688494724405
10,VBP,185,0.03814199853302103
12,there,137,0.03294367001144067
14,with,107,0.03349693448886044
5,so,74,0.03170168942482536
11,because,44,0.031138511165960028
15,from,28,0.02959256429176404
17,do,25,0.03090407649153031
18,by,17,0.029732778160359605
16,be,16,0.028581762239522593
9,VBD,15,0.02959430021445076
20,about,7,0.030733734244102456
22,an,6,0.028920866574049863
13,who,4,0.028238558709955796
19,that,3,0.03145564077772445
21,not,3,0.030038717951328148
23,VBZ,2,0.023876110266970434
24,but,1,0.02608768449146541
