,Key,Count,Mean Score
0,mean_sen_len,300,0.09079590793137492
1,this,300,0.062167031325217545
3,or,300,0.05055372869332968
4,VBP,300,0.05072686130969274
5,have,292,0.04137119856974359
2,is,282,0.03735703318006365
9,you,236,0.03263075276826963
7,that,220,0.034014997746168826
10,with,200,0.034384314301944115
6,what,189,0.03285991488531988
11,so,153,0.03289949481817318
13,but,116,0.031151132066547724
15,VBZ,38,0.032044829568529
17,i,24,0.03043435480989599
18,if,12,0.027336628439199772
12,about,12,0.02881487870337233
16,from,8,0.029004314789071638
8,VBD,8,0.02932756890876598
14,be,3,0.02733844394295509
23,said,2,0.02575776544384978
22,as,2,0.026947322596571042
19,an,1,0.03125450781500245
21,in,1,0.02647839461519701
20,on,1,0.02829340689191549
