,Key,Count,Mean Score
0,mean_sen_len,300,0.11824580034304956
1,because,300,0.0554522377164865
4,before,296,0.04113173085839365
2,from,292,0.04460063524223034
6,but,269,0.044807957632628466
7,VBP,269,0.040348863833456546
8,about,257,0.03964284518156294
3,VBZ,250,0.04148540881919694
5,by,209,0.03572309357589655
11,with,148,0.03519533847988579
15,VBD,108,0.032427303728548094
12,who,84,0.03359944927647899
10,is,75,0.03212397336310428
9,as,56,0.03243280692801955
16,or,33,0.032607329940335494
14,that,31,0.029847204097543954
13,said,8,0.030021710604362175
18,this,5,0.028068208282175915
19,while,5,0.03260470460479833
17,when,4,0.03281052288702681
20,have,1,0.028553191012422062
