,Key,Count,Mean Score
0,TTR,300,0.07510901237380034
1,mean_sen_len,300,0.0465500379616267
2,DT,300,0.03311947233614057
3,lex_density,300,0.028468007442201956
4,the,300,0.030042613003907034
5,RB,292,0.026499842563250123
9,is,279,0.024497941417764027
7,a,266,0.02370950623091652
6,VBG,238,0.023190574420960113
8,JJ,236,0.0227323466290808
10,NNS,127,0.021740052146777142
11,VBZ,40,0.021063016392852733
14,of,6,0.021291861492966815
12,sentiment,5,0.021193822422129763
13,PRP,5,0.019725537185287124
15,NN,2,0.021170535425774073
16,we,2,0.020270596767869097
17,and,2,0.0207084822640122
