,Key,Count,Mean Score
0,there,300,0.06293686879147954
6,some,276,0.03973966042131803
1,one,257,0.045962608544813426
4,all,246,0.03968804062015404
3,when,244,0.0406562898625622
2,where,219,0.03974158888006259
10,or,179,0.038821058718156054
9,their,161,0.03430559084844262
5,have,146,0.03857411590497158
12,so,138,0.035442595383575734
8,about,125,0.03611385505095978
20,each,117,0.03840930055083936
16,DT,111,0.03363373118999695
11,into,106,0.03634649397192225
14,through,78,0.03520963585768065
17,only,55,0.035338511976859825
22,any,50,0.035386032038778825
19,they,41,0.03196294806371857
7,TTR,40,0.029325532154366674
13,between,38,0.03340802429689699
24,these,17,0.03132626804165194
23,other,13,0.03186355104513377
27,the,7,0.029568873333858322
15,while,6,0.030804148147638325
21,such,5,0.02997693068951718
30,at,5,0.030026229761742174
25,if,5,0.029645593234261754
28,both,4,0.033127928523672516
18,over,3,0.029538991296249383
29,its,3,0.030851241505522844
26,has,2,0.030609060833901358
31,them,2,0.029402178127735497
32,lex_density,1,0.027561559614372712
