,Key,Count,Mean Score
0,TTR,300,0.07232546615917204
4,we,300,0.048338405204929026
7,PRP$,296,0.04372190883088327
1,this,293,0.045078661435961634
5,on,288,0.045228818870993726
6,and,285,0.03767521678901707
3,RB,273,0.03799813340734491
2,our,266,0.038997350731315585
11,PRP,216,0.035418832950575393
8,that,155,0.03371769097684875
9,with,142,0.03463704226867777
10,to,128,0.03317347498869708
12,VB,44,0.03067715729690545
13,for,7,0.028832919923562524
14,by,6,0.029930002195447097
15,a,1,0.025977431440352382
