,Key,Count,Mean Score
0,mean_sen_len,300,0.07454998279963687
1,or,300,0.05956988799415767
3,we,300,0.056429510205071684
2,and,299,0.04285269423648532
4,such,298,0.040680687901265104
5,when,281,0.0369025029165203
10,between,271,0.03549976750544195
7,upon,253,0.03393334876616653
6,is,242,0.03358727352788502
8,through,208,0.0350742668606155
11,because,98,0.030780541330122226
12,from,78,0.030187988761636936
13,in,45,0.029495106254732936
14,during,15,0.028583801072385284
16,as,4,0.03140549326981516
9,at,2,0.02711044141169264
15,TTR,2,0.0243457482168926
17,NNS,2,0.028572972351869452
18,by,1,0.023800470442922276
19,our,1,0.02872433917018819
