,Key,Count,Mean Score
0,through,300,0.04615134430206096
1,and,300,0.048091559304512276
2,when,300,0.04415889938961698
4,before,300,0.04163007051572109
6,on,287,0.03352967099597507
5,at,277,0.028432740421905283
7,during,268,0.029435284215660686
11,in,207,0.026368245001674742
8,after,170,0.026066777266107722
3,from,159,0.027162223211000893
9,with,133,0.02635991331277519
10,into,70,0.025483686006165143
13,VBG,61,0.023677526868160735
14,while,52,0.02471915128612266
15,for,28,0.02315904987812208
12,because,16,0.024030415092574798
16,TTR,15,0.021971867888099357
17,of,14,0.022966260212243482
19,said,14,0.02373621265752796
18,over,9,0.022499119460667946
20,has,5,0.026218800723100455
21,between,4,0.022668530550946482
24,who,3,0.02344222069786665
22,by,2,0.02230345781004206
26,where,2,0.021013344497226815
25,will,2,0.023584533267382565
23,until,1,0.02435518215438594
27,but,1,0.02529724343796115
