,Key,Count,Mean Score
0,TTR,300,0.09820218266308478
1,the,300,0.045129542151225076
2,an,298,0.03756461409363472
5,and,298,0.03394848130226091
4,this,291,0.03427505256012249
3,DT,280,0.030260745575638615
9,at,239,0.025925112632129307
7,it,227,0.02677680830572244
8,or,149,0.026075548629572124
10,when,126,0.024296006098784614
6,on,111,0.025179351365952996
11,PRP,110,0.023344574981547447
15,have,59,0.024593466392872302
20,there,36,0.023911114235522578
12,PRP$,36,0.023281109382781703
13,one,26,0.023388096664427146
23,from,24,0.022853827286231757
16,for,19,0.021417423112425366
22,they,15,0.021686291142111618
14,all,9,0.020523096983487622
17,with,9,0.020789558371775454
21,their,8,0.022333300713390673
18,through,8,0.02201406289870567
25,of,7,0.02137953944431944
28,a,5,0.022677659293961965
26,into,3,0.021661982306800286
19,these,2,0.02094782283986074
29,that,2,0.022410259480675907
24,who,1,0.020504215281274014
27,be,1,0.01659377014278894
30,them,1,0.02392767419823342
