,Key,Count,Mean Score
0,TTR,300,0.0984910766199251
1,and,300,0.04602916935665941
3,to,300,0.039628742735597904
7,VBG,300,0.04411680570472201
2,RB,298,0.03671410592375918
6,of,286,0.030089917389282655
10,VB,267,0.02999261369549039
5,mean_sen_len,257,0.029265548265787696
4,as,190,0.028725551395853345
8,with,112,0.027076087785980717
13,a,90,0.026627916006324782
14,VBN,78,0.02637848566156755
11,PRP,73,0.02710885058320687
15,by,63,0.025607181601413977
9,in,56,0.025683417159403272
16,VBP,19,0.026020020816368873
12,for,7,0.023749158396576524
18,from,2,0.024749282808580075
17,NNS,1,0.023273130620987875
19,PRP$,1,0.024174569495306865
