,Key,Count,Mean Score
0,TTR,300,0.20944519318894733
4,we,299,0.026943626121368868
6,you,290,0.023435866463095766
2,not,289,0.027991756819183526
1,on,288,0.02606463779837116
7,said,287,0.02370938396404177
3,NNS,272,0.02267622823198149
5,this,237,0.022901399316985833
9,which,233,0.02212835280286971
8,with,119,0.021074300017917602
10,an,102,0.020051366584048182
11,is,67,0.018348008218431078
17,by,63,0.019846904781140914
20,the,27,0.017377595196363872
14,be,23,0.017745017957294388
21,VBD,23,0.017822985886499346
13,can,14,0.018158562165108423
12,for,13,0.017600504785289378
22,your,13,0.01752332641036395
19,or,9,0.017140822641560687
16,PRP$,8,0.015982944978926477
15,in,7,0.016980428925815295
18,NN,6,0.016315511003799257
25,from,4,0.018735178890577603
26,PRP,2,0.01605834133711493
27,lex_density,2,0.016604564993134972
23,and,1,0.015308586065999785
24,as,1,0.018065445755789614
28,of,1,0.015860577457665784
