,Key,Count,Mean Score
1,TTR,300,0.0373320597191821
3,and,300,0.03805746444251781
2,RB,299,0.039112583587241095
0,VBP,278,0.03224994118515778
5,mean_sen_len,264,0.027647866157302463
4,VBG,248,0.028922134697095352
7,a,215,0.02746361482427491
6,NNS,187,0.02639583721719447
8,NN,185,0.026267629347796168
11,PRP,147,0.027361468132421837
12,is,137,0.026631553601496816
9,for,119,0.02617634309303604
14,it,62,0.02578987749542113
20,has,59,0.025568791740904456
15,in,47,0.02636753580749466
19,of,41,0.025327698623823402
18,IN,28,0.02413343900128029
10,VBZ,26,0.024996243398792313
17,JJR,13,0.02512431936325155
16,be,9,0.026306795636997022
13,with,8,0.025160977613206
21,JJ,8,0.023788543772206253
24,VBN,7,0.02514826485991573
23,are,6,0.025275566737636868
22,VB,3,0.02291967780781808
25,to,2,0.02390351116118148
26,lex_density,2,0.024047032028065376
